table_name,column_name,data_type,is_nullable,is_suppressed,rule
condition_occurrence,condition_source_value,STRING,YES,YES,DC-1370
condition_occurrence,condition_status_source_value,STRING,YES,YES,DC-1370
condition_occurrence,stop_reason,STRING,YES,YES,DC-1370
death,cause_source_value,STRING,YES,YES,DC-1370
device_exposure,device_source_value,STRING,YES,YES,DC-1370
device_exposure,unique_device_id,STRING,YES,YES,DC-1370
drug_exposure,dose_unit_source_value,STRING,YES,YES,DC-1370
drug_exposure,drug_source_value,STRING,YES,YES,DC-1370
drug_exposure,lot_number,STRING,YES,YES,DC-1370
drug_exposure,route_source_value,STRING,YES,YES,DC-1370
drug_exposure,sig,STRING,YES,YES,DC-1370
drug_exposure,stop_reason,STRING,YES,YES,DC-1370
measurement,measurement_source_value,STRING,YES,YES,DC-1370
measurement,unit_source_value,STRING,YES,YES,DC-1370
measurement,value_source_value,STRING,YES,YES,DC-1370
note,note_source_value,STRING,YES,YES,DC-1370
note,note_text,STRING,NO,YES,DC-1370
note,note_title,STRING,NO,YES,DC-1370
observation,observation_source_value,STRING,YES,YES,DC-1370
observation,qualifier_source_value,STRING,YES,YES,DC-1370
observation,unit_source_value,STRING,YES,YES,DC-1370
observation,value_as_string,STRING,YES,YES,DC-1370
observation,value_source_value,STRING,YES,YES,DC-1370
person,ethnicity_source_value,STRING,YES,YES,DC-1370
person,gender_source_value,STRING,YES,YES,DC-1370
person,person_source_value,STRING,YES,YES,DC-1370
person,race_source_value,STRING,YES,YES,DC-1370
procedure_occurrence,procedure_source_value,STRING,YES,YES,DC-1370
procedure_occurrence,modifier_source_value,STRING,YES,YES,DC-1370
specimen,anatomic_site_source_value,STRING,YES,YES,DC-1370
specimen,disease_status_source_value,STRING,YES,YES,DC-1370
specimen,specimen_source_id,STRING,YES,YES,DC-1370
specimen,specimen_source_value,STRING,YES,YES,DC-1370
specimen,unit_source_value,STRING,YES,YES,DC-1370
visit_occurrence,admitting_source_value,STRING,YES,YES,DC-1370
visit_occurrence,discharge_to_source_value,STRING,YES,YES,DC-1370
visit_occurrence,visit_source_value,STRING,YES,YES,DC-1370
person,month_of_birth,INT64,YES,YES,DC-1373
person,day_of_birth,INT64,YES,YES,DC-1373
person,birth_datetime,TIMESTAMP,YES,YES,DC-1373
person,location_id,INT64,YES,YES,DC-1373
person,provider_id,INT64,YES,YES,DC-1373
person,care_site_id,INT64,YES,YES,DC-1373
observation,provider_id,INT64,YES,YES,DC-1373
visit_occurrence,provider_id,INT64,YES,YES,DC-1373
visit_occurrence,care_site_id,INT64,YES,YES,DC-1373
care_site_ext,care_site_id,INT64,YES,YES,DC-1373
measurement,provider_id,INT64,YES,YES,DC-1373
provider,provider_id,INT64,NO,YES,DC-1373
provider,care_site_id,INT64,YES,YES,DC-1373
procedure_occurrence,provider_id,INT64,YES,YES,DC-1373
care_site,care_site_id,INT64,NO,YES,DC-1373
care_site,location_id,INT64,YES,YES,DC-1373
device_exposure,provider_id,INT64,YES,YES,DC-1373
location_ext,location_id,INT64,YES,YES,DC-1373
location,location_id,INT64,NO,YES,DC-1373
condition_occurrence,provider_id,INT64,YES,YES,DC-1373
drug_exposure,provider_id,INT64,YES,YES,DC-1373
note,provider_id,INT64,YES,YES,DC-1373
provider_ext,provider_id,INT64,YES,YES,DC-1373
person,month_of_birth,INT64,YES,YES,DC-1357
person,day_of_birth,INT64,YES,YES,DC-1357
person,birth_datetime,TIMESTAMP,YES,YES,DC-1357
observation,observation_concept_id,INT64,NO,,DC-1368
observation,observation_type_concept_id,INT64,NO,,DC-1368
observation,value_as_concept_id,INT64,YES,,DC-1368
observation,qualifier_concept_id,INT64,YES,,DC-1368
observation,unit_concept_id,INT64,YES,,DC-1368
observation,observation_source_concept_id,INT64,YES,,DC-1368
observation,value_source_concept_id,INT64,YES,,DC-1368
drug_era,drug_concept_id,INT64,NO,,DC-1368
fact_relationship,relationship_concept_id,INT64,NO,,DC-1368
observation_period,period_type_concept_id,INT64,NO,,DC-1368
procedure_cost,currency_concept_id,INT64,YES,,DC-1368
procedure_cost,revenue_code_concept_id,INT64,YES,,DC-1368
visit_occurrence,visit_concept_id,INT64,NO,,DC-1368
visit_occurrence,visit_type_concept_id,INT64,NO,,DC-1368
visit_occurrence,visit_source_concept_id,INT64,YES,,DC-1368
visit_occurrence,admitting_source_concept_id,INT64,YES,,DC-1368
visit_occurrence,discharge_to_concept_id,INT64,YES,,DC-1368
drug_strength,drug_concept_id,INT64,NO,,DC-1368
drug_strength,ingredient_concept_id,INT64,NO,,DC-1368
drug_strength,amount_unit_concept_id,INT64,YES,,DC-1368
drug_strength,numerator_unit_concept_id,INT64,YES,,DC-1368
drug_strength,denominator_unit_concept_id,INT64,YES,,DC-1368
condition_era,condition_concept_id,INT64,NO,,DC-1368
measurement,measurement_concept_id,INT64,NO,,DC-1368
measurement,measurement_type_concept_id,INT64,NO,,DC-1368
measurement,operator_concept_id,INT64,YES,,DC-1368
measurement,value_as_concept_id,INT64,YES,,DC-1368
measurement,unit_concept_id,INT64,YES,,DC-1368
measurement,measurement_source_concept_id,INT64,YES,,DC-1368
visit_cost,currency_concept_id,INT64,YES,,DC-1368
provider,specialty_concept_id,INT64,YES,,DC-1368
provider,gender_concept_id,INT64,YES,,DC-1368
provider,specialty_source_concept_id,INT64,YES,,DC-1368
provider,gender_source_concept_id,INT64,YES,,DC-1368
