table_name,column_name,data_type,primary_key,mapping_table,new_id,rule
observation,person_id,INT64,observation_id,_deid_map,research_id,DC-1346
drug_era,person_id,INT64,drug_era_id,_deid_map,research_id,DC-1346
observation_period,person_id,INT64,observation_period_id,_deid_map,research_id,DC-1346
visit_occurrence,person_id,INT64,visit_occurrence_id,_deid_map,research_id,DC-1346
measurement,person_id,INT64,measurement_id,_deid_map,research_id,DC-1346
person,person_id,INT64,person_id,_deid_map,research_id,DC-1346
procedure_occurrence,person_id,INT64,procedure_occurrence_id,_deid_map,research_id,DC-1346
specimen,person_id,INT64,specimen_id,_deid_map,research_id,DC-1346
device_exposure,person_id,INT64,device_exposure_id,_deid_map,research_id,DC-1346
payer_plan_period,person_id,INT64,payer_plan_period_id,_deid_map,research_id,DC-1346
condition_occurrence,person_id,INT64,condition_occurrence_id,_deid_map,research_id,DC-1346
drug_exposure,person_id,INT64,drug_exposure_id,_deid_map,research_id,DC-1346
note,person_id,INT64,note_id,_deid_map,research_id,DC-1346
dose_era,person_id,INT64,dose_era_id,_deid_map,research_id,DC-1346
observation,questionnaire_response_id,INT64,observation_id,_deid_questionnaire_response_map,research_response_id,DC-1348
observation,value_as_string,STRING,observation_id,_zip_map,,DC-1377
observation,value_as_number,INT64,observation_id,_zip_map,,DC-1377
observation,value_as_string,STRING,observation_id,,,DC-1380
observation,value_as_number,INT64,observation_id,,,DC-1380
care_site_ext,src_id,STRING,care_site_id,site_maskings,src_id,DC-1355
visit_occurrence_ext,src_id,STRING,visit_occurrence_id,site_maskings,src_id,DC-1355
procedure_occurrence_ext,src_id,STRING,procedure_occurrence_id,site_maskings,src_id,DC-1355
drug_exposure_ext,src_id,STRING,drug_exposure_id,site_maskings,src_id,DC-1355
provider_ext,src_id,STRING,provider_id,site_maskings,src_id,DC-1355
device_exposure_ext,src_id,STRING,device_exposure_id,site_maskings,src_id,DC-1355
condition_occurrence_ext,src_id,STRING,condition_occurrence_id,site_maskings,src_id,DC-1355
observation_ext,src_id,STRING,observation_id,site_maskings,src_id,DC-1355
measurement_ext,src_id,STRING,measurement_id,site_maskings,src_id,DC-1355
