table_name,column_name,concept_id,concept_code,is_suppressed,rule
observation,observation_source_value,,PIIBirthInformation_BirthDate,YES,DC-1359
observation,observation_source_concept_id,1585259,,YES,DC-1359
observation,observation_concept_id,1585259,,YES,DC-1359
observation,observation_concept_id,1585260,,YES,DC-1364
observation,observation_concept_id,43529713,,YES,DC-1364
observation,observation_concept_id,1384421,,YES,DC-1364
observation,observation_concept_id,43529107,,YES,DC-1364
observation,observation_concept_id,1586102,,YES,DC-1364
observation,observation_concept_id,1585961,,YES,DC-1364
observation,observation_concept_id,1585962,,YES,DC-1364
observation,observation_concept_id,1585963,,YES,DC-1364
observation,observation_concept_id,1585490,,YES,DC-1364
observation,observation_concept_id,1585486,,YES,DC-1364
observation,observation_concept_id,1585246,,YES,DC-1364
observation,observation_concept_id,1585247,,YES,DC-1364
observation,observation_concept_id,1585252,,YES,DC-1364
observation,observation_concept_id,1585596,,YES,DC-1364
observation,observation_concept_id,1585598,,YES,DC-1364
observation,observation_concept_id,1585597,,YES,DC-1364
observation,observation_concept_id,1585910,,YES,DC-1364
observation,observation_concept_id,1585911,,YES,DC-1364
observation,observation_concept_id,1585915,,YES,DC-1364
observation,observation_concept_id,1585907,,YES,DC-1364
observation,observation_concept_id,1585909,,YES,DC-1364
observation,observation_concept_id,1585916,,YES,DC-1364
observation,observation_concept_id,1585926,,YES,DC-1364
observation,observation_concept_id,1585927,,YES,DC-1364
observation,observation_concept_id,1585931,,YES,DC-1364
observation,observation_concept_id,1585923,,YES,DC-1364
observation,observation_concept_id,1585925,,YES,DC-1364
observation,observation_concept_id,1585932,,YES,DC-1364
observation,observation_source_concept_id,1585260,,YES,DC-1364
observation,observation_source_concept_id,43529713,,YES,DC-1364
observation,observation_source_concept_id,1384421,,YES,DC-1364
observation,observation_source_concept_id,43529107,,YES,DC-1364
observation,observation_source_concept_id,1586102,,YES,DC-1364
observation,observation_source_concept_id,1585961,,YES,DC-1364
observation,observation_source_concept_id,1585962,,YES,DC-1364
observation,observation_source_concept_id,1585963,,YES,DC-1364
observation,observation_source_concept_id,1585490,,YES,DC-1364
observation,observation_source_concept_id,1585486,,YES,DC-1364
observation,observation_source_concept_id,1585246,,YES,DC-1364
observation,observation_source_concept_id,1585247,,YES,DC-1364
observation,observation_source_concept_id,1585252,,YES,DC-1364
observation,observation_source_concept_id,1585596,,YES,DC-1364
observation,observation_source_concept_id,1585598,,YES,DC-1364
observation,observation_source_concept_id,1585597,,YES,DC-1364
observation,observation_source_concept_id,1585910,,YES,DC-1364
observation,observation_source_concept_id,1585911,,YES,DC-1364
observation,observation_source_concept_id,1585915,,YES,DC-1364
observation,observation_source_concept_id,1585907,,YES,DC-1364
observation,observation_source_concept_id,1585909,,YES,DC-1364
observation,observation_source_concept_id,1585916,,YES,DC-1364
observation,observation_source_concept_id,1585926,,YES,DC-1364
observation,observation_source_concept_id,1585927,,YES,DC-1364
observation,observation_source_concept_id,1585931,,YES,DC-1364
observation,observation_source_concept_id,1585923,,YES,DC-1364
observation,observation_source_concept_id,1585925,,YES,DC-1364
observation,observation_source_concept_id,1585932,,YES,DC-1364
observation,observation_source_value,,Asian_AsianSpecific,YES,DC-1366
observation,observation_source_value,,AIAN_AIANSpecific,YES,DC-1366
observation,observation_source_value,,Black_BlackSpecific,YES,DC-1366
observation,observation_source_value,,MENA_MENASpecific,YES,DC-1366
observation,observation_source_value,,NHPI_NHPISpecific,YES,DC-1366
observation,observation_source_value,,White_WhiteSpecific,YES,DC-1366
observation,observation_source_value,,Hispanic_HispanicSpecific,YES,DC-1366
observation,observation_source_value,,RaceEthnicityNoneOfThese_RaceEthnicityFreeTextBox,YES,DC-1366
observation,observation_source_concept_id,1586151,,YES,DC-1366
observation,observation_source_concept_id,1586150,,YES,DC-1366
observation,observation_source_concept_id,1586152,,YES,DC-1366
observation,observation_source_concept_id,1586153,,YES,DC-1366
observation,observation_source_concept_id,1586154,,YES,DC-1366
observation,observation_source_concept_id,1586155,,YES,DC-1366
observation,observation_source_concept_id,1586156,,YES,DC-1366
observation,observation_source_concept_id,1586149,,YES,DC-1366
observation,observation_concept_id,1586151,,YES,DC-1366
observation,observation_concept_id,1586150,,YES,DC-1366
observation,observation_concept_id,1586152,,YES,DC-1366
observation,observation_concept_id,1586153,,YES,DC-1366
observation,observation_concept_id,1586154,,YES,DC-1366
observation,observation_concept_id,1586155,,YES,DC-1366
observation,observation_concept_id,1586156,,YES,DC-1366
observation,observation_concept_id,1586149,,YES,DC-1366
