table_name,column_name,data_type,is_nullable,is_suppressed,rule
observation,value_as_string,STRING,YES,YES,DC-1370
visit_occurrence,admitting_source_value,STRING,YES,YES,DC-1370
visit_occurrence,discharge_to_source_value,STRING,YES,YES,DC-1370
heart_rate_summary,zone_name,STRING,YES,YES,DC-1370
drug_strength,invalid_reason,STRING,YES,YES,DC-1370
domain,domain_name,STRING,NO,YES,DC-1370
provider,provider_name,STRING,YES,YES,DC-1370
provider,NPI,STRING,YES,YES,DC-1370
provider,DEA,STRING,YES,YES,DC-1370
provider,provider_source_value,STRING,YES,YES,DC-1370
provider,specialty_source_value,STRING,YES,YES,DC-1370
care_site,care_site_name,STRING,YES,YES,DC-1370
care_site,care_site_source_value,STRING,YES,YES,DC-1370
care_site,place_of_service_source_value,STRING,YES,YES,DC-1370
specimen,specimen_source_id,STRING,YES,YES,DC-1370
death,cause_source_value,STRING,YES,YES,DC-1370
device_exposure,unique_device_id,STRING,YES,YES,DC-1370
location,address_1,STRING,YES,YES,DC-1370
location,address_2,STRING,YES,YES,DC-1370
location,city,STRING,YES,YES,DC-1370
location,state,STRING,YES,YES,DC-1370
location,zip,STRING,YES,YES,DC-1370
location,county,STRING,YES,YES,DC-1370
condition_occurrence,stop_reason,STRING,YES,YES,DC-1370
cohort_definition,cohort_definition_name,STRING,NO,YES,DC-1370
cohort_definition,cohort_definition_description,STRING,YES,YES,DC-1370
cohort_definition,cohort_definition_syntax,STRING,YES,YES,DC-1370
attribute_definition,attribute_name,STRING,NO,YES,DC-1370
attribute_definition,attribute_description,STRING,YES,YES,DC-1370
attribute_definition,attribute_syntax,STRING,YES,YES,DC-1370
drug_exposure,stop_reason,STRING,YES,YES,DC-1370
drug_exposure,sig,STRING,YES,YES,DC-1370
drug_exposure,lot_number,STRING,YES,YES,DC-1370
note,note_title,STRING,NO,YES,DC-1370
note,note_text,STRING,NO,YES,DC-1370
cost,cost_domain_id,STRING,NO,YES,DC-1370
person,month_of_birth,INT64,YES,YES,DC-1373
person,day_of_birth,INT64,YES,YES,DC-1373
person,birth_datetime,TIMESTAMP,YES,YES,DC-1373
person,location_id,INT64,YES,YES,DC-1373
person,provider_id,INT64,YES,YES,DC-1373
person,care_site_id,INT64,YES,YES,DC-1373
observation,provider_id,INT64,YES,YES,DC-1373
visit_occurrence,provider_id,INT64,YES,YES,DC-1373
visit_occurrence,care_site_id,INT64,YES,YES,DC-1373
care_site_ext,care_site_id,INT64,YES,YES,DC-1373
measurement,provider_id,INT64,YES,YES,DC-1373
provider,provider_id,INT64,NO,YES,DC-1373
provider,care_site_id,INT64,YES,YES,DC-1373
procedure_occurrence,provider_id,INT64,YES,YES,DC-1373
care_site,care_site_id,INT64,NO,YES,DC-1373
care_site,location_id,INT64,YES,YES,DC-1373
device_exposure,provider_id,INT64,YES,YES,DC-1373
location_ext,location_id,INT64,YES,YES,DC-1373
location,location_id,INT64,NO,YES,DC-1373
condition_occurrence,provider_id,INT64,YES,YES,DC-1373
drug_exposure,provider_id,INT64,YES,YES,DC-1373
note,provider_id,INT64,YES,YES,DC-1373
provider_ext,provider_id,INT64,YES,YES,DC-1373
