"hpo_id","bucket_name","service"
"AOUW_MCRI","aou296","default"
"AOUW_MCW","aou676","default"
"AOUW_UWH","aou526","default"
"CAL_PMC_USC_ALTAMED","aou740","default"
"CAL_PMC_USC_WESTMINSTER","aou998","default"
"CHCI","aou411","default"
"CHS","aou767","default"
"CPMC_CEDERS","aou697","default"
"CPMC_UCD","aou185","default"
"CPMC_UCI","aou763","default"
"CPMC_UCSD","aou157","default"
"CPMC_UCSF","aou492","default"
"CPMC_USC","aou298","default"
"ECCHC","aou550","default"
"GHS","",""
"HRHC","aou950","default"
"ILLINOIS_NEAR_NORTH","aou996","default"
"IPMC_NORTHSHORE","aou093","default"
"IPMC_NU","aou734","default"
"IPMC_RUSH","aou555","default"
"IPMC_UCHICAGO","aou406","default"
"IPMC_UIC","aou336","default"
"IPMC_UNITY_POINT","aou824","default"
"COOK_COUNTY","aou232","default"
"JHCHC","aou949","default"
"NEC_BMC","aou873","default"
"NEC_PHS","aou308","default"
"NYC_CORNELL","aou377","default"
"NYC_CU","aou364","default"
"NYC_HH","aou042","default"
"PITT","aou467","default"
"PITT_TEMPLE","aou975","default"
"SAOU_CGMHS","aou111","default"
"SAOU_HHSYS","",""
"SAOU_LSU","aou265","default"
"SAOU_TUL","aou822","default"
"SAOU_UAB","aou739","default"
"SAOU_UAB_HUNT","aou583","default"
"SAOU_UAB_SELMA","aou333","default"
"SAOU_UMC","aou062","default"
"SAOU_UMMC","aou353","default"
"SAOU_USAHS","aou142","default"
"SEEC_EMORY","aou005","default"
"SEEC_MIAMI","aou004","default"
"SEEC_MOREHOUSE","aou002","default"
"SEEC_UFL","aou390","default"
"SYHC","aou096","default"
"TACH_HFHS","aou295","default"
"TRANS_AM_BAYLOR","aou993","default"
"TRANS_AM_ESSENTIA","aou429","default"
"TRANS_AM_MEYERS","aou439","default"
"TRANS_AM_SPECTRUM","aou428","default"
"TRANS_AM_HEALTH_PARTNERS","aou967","default"
"UAMC_BANNER","aou236","default"
"UAMC_UOFA","",""
"UNC_CHAPEL_HILL","aou997","default"
"UT_HEALTH_TYLER","aou984","default"
"VA","aou179","default"
"VCU","aou818","default"
"WASH_U_STL","aou783","legacy"
"WISCONSIN_GUNDERSEN","aou163","default"
"WISCONSIN_MEDICAL_COLLEGE_SSHC","aou039","default"
"UNIONED_EHR","ehr_ops_archive","default"
"WAIANAE_COAST_COMPREHENSIVE","aou632","default"
"SEEC_UPRCCC","aou405","default"
"CARE_EVOLUTION_OMOP_PTSC","aou655","default"
"CARE_EVOLUTION_OMOP_DV","aou537","default"
"CARE_EVOLUTION_FHIR_PTSC","aou907","default"
"CARE_EVOLUTION_FHIR_DV","aou999","default"
"UNC_CHAPEL_HILL_WAKE_FOREST","aou090","default"
"CPMC_UCSD_YALE","aou399","default"
"AOUW_MCW_OCHC","aou961","default"
"COSSMA_PR","aou977","default"
"HEARTLAND_KANSAS","aou213","default"
"HEARTLAND_UNMC","aou361","default"
"HEARTLAND_UIHC","aou567","default"
"HEARTLAND_MISSOURI","aou089","default"
"NYC_MTSINAI","aou305","default"
