"Org_ID","HPO_ID","Site_Name","Display_Order"
"CHEROKEE_CHS","CHS","Cherokee Health Systems","1"
"COMM_HEALTH_CHC","CHCI","Community Health Center","2"
"EAU_CLAIRE_EAU_CLAIRE_CHC","ECCHC","Eau Claire Cooperative Health Center","3"
"HRHCARE_HRHCI","HRHC","HRHCare (Hudson River Health Care)","4"
"JACKSON_JACKSON_HINDS_CHC","JHCHC","Jackson-Hinds Comprehensive Health Center","5"
"SAN_YSIDRO_SYHC","SYHC","San Ysidro Health Center","6"
"COSSMA_PR","COSSMA_PR","COSSMA","7"
"PITT_UPMC","PITT","University of Pittsburgh Medical Center","8"
"PITT_TEMPLE","PITT_TEMPLE","Temple University","9"
"COLUMBIA_COLUMBIA","NYC_CU","Columbia University Medical Center","10"
"COLUMBIA_WEILL","NYC_CORNELL","Cornell University","11"
"COLUMBIA_HARLEM","NYC_HH","Harlem Hospital","12"
"TRANS_AM_HENRY_FORD","TACH_HFHS","Henry Ford Health System","13"
"TRANS_AM_BAYLOR","TRANS_AM_BAYLOR","Baylor Health Care System","14"
"TRANS_AM_SPECTRUM","TRANS_AM_SPECTRUM","Spectrum Health System","15"
"TRANS_AM_ESSENTIA","TRANS_AM_ESSENTIA","Essentia Health Superior Clinic","16"
"TRANS_AM_MEYERS","TRANS_AM_MEYERS","Reliant Southborough","17"
"TRANS_AM_HEALTH_PARTNERS","TRANS_AM_HEALTH_PARTNERS","Health Partners","18"
"CAL_PMC_UCSD","CPMC_UCSD","UC San Diego","19"
"CAL_PMC_UCD","CPMC_UCD","UC Davis","20"
"CAL_PMC_UCI","CPMC_UCI","UC Irvine","21"
"CAL_PMC_UCSF","CPMC_UCSF","UC San Francisco","22"
"CAL_PMC_USC","CPMC_USC","University of Southern California","23"
"CAL_PMC_USC","CAL_PMC_USC_ALTAMED","AltaMed","24"
"CAL_PMC_USC","CAL_PMC_USC_WESTMINSTER","Westminster Health","25"
"CAL_PMC_CEDARS_SINAI","CPMC_CEDERS","Cedars-Sinai Medical Center","26"
"WISCONSIN_MARSHFIELD","AOUW_MCRI","Marshfield Clinic Family Health Institute","27"
"WISCONSIN_MEDICAL COLLEGE","AOUW_MCW","Medical College of Wisconsin","28"
"AOUW_MCW_OCHC","AOUW_MCW_OCHC","Outreach Community Health Center","29"
"WISCONSIN_UW_MADISON","AOUW_UWH","University of Wisconsin School of Medicine and Public Health in Madison","30"
"WISCONSIN_MEDICAL_COLLEGE_SSHC","WISCONSIN_MEDICAL_COLLEGE_SSHC","Sixteenth Street Community Health Center Parkway Clinic","31"
"WISCONSIN_GUNDERSEN","WISCONSIN_GUNDERSEN","Gundersen Health","32"
"AZ_TUCSON_BANNER_HEALTH","UAMC_BANNER","Banner Health","33"
"NE_PMC_PARTNERS","NEC_PHS","Partners HealthCare","34"
"NE_PMC_BMC","NEC_BMC","Boston Medical Center","35"
"ILLINOIS_NORTHWESTERN","IPMC_NU","Northwestern Memorial Hospital","36"
"ILLINOIS_CHICAGO","IPMC_UCHICAGO","University of Chicago","37"
"ILLINOIS_UIC","IPMC_UIC","University of Illinois Chicago","38"
"ILLINOIS_UIC","COOK_COUNTY","Cook County","39"
"ILLINOIS_UIC","IPMC_UNITY_POINT","UnityPoint Health","40"
"ILLINOIS_RUSH","IPMC_RUSH","Rush University","41"
"ILLINOIS_NORTHSHORE","IPMC_NORTHSHORE","NorthShore University HealthSystem","42"
"ILLINOIS_NEAR_NORTH","ILLINOIS_NEAR_NORTH","Alliance Chicago","43"
"SOUTHERN_UAB","SAOU_UAB","University of Alabama - Birmingham","44"
"SOUTHERN_LSU","SAOU_LSU","Louisiana State University Health Sciences Center","45"
"SOUTHERN_MISSISSIPPI_MC","SAOU_UMMC","University of Mississippi Medical Center","46"
"SOUTHERN_TULANE","SAOU_TUL","Tulane Medical Center","47"
"SOUTHERN_UAB_MONTGOMERY","","University of Alabama Birmigham - Montgomery (UAB Montgomery)","48"
"SOUTHERN_HUNTSVILLE","SAOU_HHSYS","Huntsville Hospital","49"
"SOUTHERN_UAB_SELMA","SAOU_UAB_SELMA","The University of Alabama at Birmingham-Selma Regional Campus","50"
"SOUTHERN_UAB_HUNTSVILLE","SAOU_UAB_HUNT","The University of Alabama at Birmingham-Huntsville Regional Campus","51"
"SOUTHERN_UASB","SAOU_USAHS","University of South Alabama Health System","52"
"SOUTHERN_UMC_TUSCALOOSA","SAOU_UMC","University Medical Center (UA Tuscaloosa)","53"
"SOUTHERN_COOPER_GREEN","SAOU_CGMHS","Cooper Green Mercy Health Services","54"
"SEEC_UF","SEEC_UFL","University of Florida - Clinical Research Center","55"
"SEEC_EMORY","SEEC_EMORY","Emory University","56"
"SEEC_MOREHOUSE","SEEC_MOREHOUSE","Morehouse School of Medicine","57"
"SEEC_MIAMI","SEEC_MIAMI","University of Miami Miller School of Medicine","58"
"SEEC_UPRCCC","SEEC_UPRCCC","University of Puerto Rico Comprehensive Cancer Center","59"
"VA_BOSTON_VAMC","VA","VA Boston","60"
