State,value_source_concept_id,hpo_id
PIIState_WI,1585410.0,aouw_mcri
PIIState_WI,1585410.0,aouw_mcw
PIIState_WI,1585410.0,wisconsin_medical_college_sshc
PIIState_WI,1585410.0,wisconsin_gundersen
PIIState_WI,1585410.0,aouw_uwh
PIIState_CT,1585268.0,chci
PIIState_TN,1585310.0,chs
PIIState_PR,1585306.0,cossma_pr
PIIState_CA,1585266.0,cpmc_ceders
PIIState_CA,1585266.0,cpmc_ucd
PIIState_CA,1585266.0,cpmc_uci
PIIState_CA,1585266.0,cpmc_ucsd
PIIState_CA,1585266.0,cpmc_ucsf
PIIState_CA,1585266.0,cpmc_usc
PIIState_CA,1585266.0,cal_pmc_usc_altamed
PIIState_SC,1585308.0,ecchc
PIIState_NY,1585297.0,hrhc
PIIState_IL,1585277.0,cook_county
PIIState_IL,1585277.0,ipmc_northshore
PIIState_IL,1585277.0,ipmc_nu
PIIState_IL,1585277.0,ipmc_rush
PIIState_IL,1585277.0,ipmc_uchicago
PIIState_IL,1585277.0,ipmc_uic
PIIState_IL,1585277.0,ipmc_unity_point
PIIState_IL,1585277.0,illinois_near_north
PIIState_MS,1585289.0,jhchc
PIIState_MA,1585286.0,nec_bmc
PIIState_MA,1585286.0,nec_phs
PIIState_NC,1585298.0,unc_chapel_hill
PIIState_NC,1585298.0,unc_chapel_hill_wake_forest
PIIState_NY,1585297.0,nyc_cornell
PIIState_NY,1585297.0,nyc_cu
PIIState_NY,1585297.0,nyc_hh
PIIState_PA,1585305.0,pitt
PIIState_PA,1585305.0,pitt_temple
PIIState_AL,1585261.0,saou_cgmhs
PIIState_LA,1585282.0,saou_lsu
PIIState_LA,1585282.0,saou_tul
PIIState_AL,1585261.0,saou_uab
PIIState_AL,1585261.0,saou_uab_hunt
PIIState_AL,1585261.0,saou_uab_selma
PIIState_AL,1585261.0,saou_umc
PIIState_MS,1585289.0,saou_ummc
PIIState_AL,1585261.0,saou_usahs
PIIState_GA,1585273.0,seec_emory
PIIState_FL,1585272.0,seec_miami
PIIState_GA,1585273.0,seec_morehouse
PIIState_FL,1585272.0,seec_ufl
PIIState_CA,1585266.0,syhc
PIIState_MI,1585287.0,tach_hfhs
PIIState_TX,1585311.0,trans_am_baylor
PIIState_MN,1585288.0,trans_am_essentia
PIIState_MA,1585286.0,trans_am_meyers
PIIState_MI,1585287.0,trans_am_spectrum
PIIState_MN,1585288.0,trans_am_health_partners
PIIState_AZ,1585264.0,uamc_banner
,,va
,,rdr
,,saou_hhsys
PIIState_VA,1585314.0,vcu
PIIState_MO,1585290.0,wash_u_stl
PIIState_TX,1585311.0,ut_health_tyler
PIIState_HI,1585275.0,waianae_coast_comprehensive
PIIState_PR,1585306.0,seec_uprccc
PIIState_CA,1585266.0,cal_pmc_usc_westminster
,,ce
,,vibrent
,,healthpro
,,care_evolution_omop_ptsc
,,care_evolution_omop_dv
,,care_evolution_fhir_ptsc
,,care_evolution_fhir_dv
PIIState_CT,1585268.0,cpmc_ucsd_yale
PIIState_WI,1585410.0,aouw_mcw_ochc
PIIState_KS,1585280.0,heartland_kansas
PIIState_NE,1585292.0,heartland_unmc
PIIState_IA,1585279.0,heartland_uihc
PIIState_MO,1585290.0,heartland_missouri
PIIState_NY,1585297,nyc_mtsinai
