measurement_concept_id,unit_concept_id,set_unit_concept_id,transform_value_as_number
3000905               ,9444           ,8848               ,"*1"
3000905               ,8961           ,8848               ,"*1"
3000905               ,8903           ,8848               ,"*1"
3000905               ,8848           ,8848               ,"*1"
3000905               ,8792           ,8848               ,"*1"
3000905               ,4303374        ,8848               ,"*1"
3000905               ,8647           ,8848               ,"*10^(-3)"
3000905               ,8938           ,8848               ,"*10^(6)"
3007461               ,9444           ,8848               ,"*1"
3007461               ,8961           ,8848               ,"*1"
3007461               ,8903           ,8848               ,"*1"
3007461               ,8848           ,8848               ,"*1"
3007461               ,8792           ,8848               ,"*1"
3007461               ,4303374        ,8848               ,"*1"
3007461               ,8647           ,8848               ,"*10^(-3)"
3007461               ,8938           ,8848               ,"*10^(6)"
3010813               ,9444           ,8848               ,"*1"
3010813               ,8961           ,8848               ,"*1"
3010813               ,8903           ,8848               ,"*1"
3010813               ,8848           ,8848               ,"*1"
3010813               ,8792           ,8848               ,"*1"
3010813               ,4303374        ,8848               ,"*1"
3010813               ,8647           ,8848               ,"*10^(-3)"
3010813               ,8938           ,8848               ,"*10^(6)"
3024929               ,9444           ,8848               ,"*1"
3024929               ,8961           ,8848               ,"*1"
3024929               ,8903           ,8848               ,"*1"
3024929               ,8848           ,8848               ,"*1"
3024929               ,8792           ,8848               ,"*1"
3024929               ,4303374        ,8848               ,"*1"
3024929               ,8647           ,8848               ,"*10^(-3)"
3024929               ,8938           ,8848               ,"*10^(6)"
3000963               ,9503           ,8636               ,"*10"
3000963               ,8713           ,8636               ,"*10"
3000963               ,4121395        ,8636               ,"*10"
3000963               ,8950           ,8636               ,"*10"
3000963               ,8840           ,8636               ,"*10^(-2)"
3000963               ,4121396        ,8636               ,"*10^(-2)"
3000963               ,8554           ,8636               ,"*10^(-1)"
3000963               ,8636           ,8636               ,"*1"
3000963               ,4120722        ,8636               ,"*1"
3027970               ,9503           ,8636               ,"*10"
3027970               ,8713           ,8636               ,"*10"
3027970               ,4121395        ,8636               ,"*10"
3027970               ,8950           ,8636               ,"*10"
3027970               ,8840           ,8636               ,"*10^(-2)"
3027970               ,4121396        ,8636               ,"*10^(-2)"
3027970               ,8554           ,8636               ,"*10^(-1)"
3027970               ,8636           ,8636               ,"*1"
3027970               ,4120722        ,8636               ,"*1"
3024561               ,9503           ,8636               ,"*10"
3024561               ,8713           ,8636               ,"*10"
3024561               ,4121395        ,8636               ,"*10"
3024561               ,8950           ,8636               ,"*10"
3024561               ,8840           ,8636               ,"*10^(-2)"
3024561               ,4121396        ,8636               ,"*10^(-2)"
3024561               ,8554           ,8636               ,"*10^(-1)"
3024561               ,8636           ,8636               ,"*1"
3024561               ,4120722        ,8636               ,"*1"
3002030               ,4190629        ,8554               ,"*1"
3002030               ,4121395        ,8554               ,"*1"
3002030               ,8554           ,8554               ,"*1"
3002179               ,4190629        ,8554               ,"*1"
3002179               ,4121395        ,8554               ,"*1"
3002179               ,8554           ,8554               ,"*1"
3004809               ,4190629        ,8554               ,"*1"
3004809               ,4121395        ,8554               ,"*1"
3004809               ,8554           ,8554               ,"*1"
3006504               ,4190629        ,8554               ,"*1"
3006504               ,4121395        ,8554               ,"*1"
3006504               ,8554           ,8554               ,"*1"
3009542               ,4190629        ,8554               ,"*1"
3009542               ,4121395        ,8554               ,"*1"
3009542               ,8554           ,8554               ,"*1"
3017181               ,4190629        ,8554               ,"*1"
3017181               ,4121395        ,8554               ,"*1"
3017181               ,8554           ,8554               ,"*1"
3018010               ,4190629        ,8554               ,"*1"
3018010               ,4121395        ,8554               ,"*1"
3018010               ,8554           ,8554               ,"*1"
3019069               ,4190629        ,8554               ,"*1"
3019069               ,4121395        ,8554               ,"*1"
3019069               ,8554           ,8554               ,"*1"
3019897               ,4190629        ,8554               ,"*1"
3019897               ,4121395        ,8554               ,"*1"
3019897               ,8554           ,8554               ,"*1"
3021440               ,4190629        ,8554               ,"*1"
3021440               ,4121395        ,8554               ,"*1"
3021440               ,8554           ,8554               ,"*1"
3022096               ,4190629        ,8554               ,"*1"
3022096               ,4121395        ,8554               ,"*1"
