analysis_id,analysis_name,stratum_1_name,stratum_2_name,stratum_3_name,stratum_4_name,stratum_5_name
0,"Source name",NULL,NULL,NULL,NULL,NULL
1,"Number of persons",NULL,NULL,NULL,NULL,NULL
2,"Number of persons by gender","gender_concept_id",NULL,NULL,NULL,NULL
3,"Number of persons by year of birth","year_of_birth",NULL,NULL,NULL,NULL
4,"Number of persons by race","race_concept_id",NULL,NULL,NULL,NULL
5,"Number of persons by ethnicity","ethnicity_concept_id",NULL,NULL,NULL,NULL
7,"Number of persons with invalid provider_id",NULL,NULL,NULL,NULL,NULL
8,"Number of persons with invalid location_id",NULL,NULL,NULL,NULL,NULL
9,"Number of persons with invalid care_site_id",NULL,NULL,NULL,NULL,NULL
10,"Number of all persons by year of birth by gender","year_of_birth","gender_concept_id",NULL,NULL,NULL
11,"Number of non-deceased persons by year of birth by gender","year_of_birth","gender_concept_id",NULL,NULL,NULL
12,"Number of persons by race and ethnicity","race_concept_id","ethnicity_concept_id",NULL,NULL,NULL
101,"Number of persons by age,with age at first observation period","age",NULL,NULL,NULL,NULL
102,"Number of persons by gender by age,with age at first observation period","gender_concept_id","age",NULL,NULL,NULL
103,"Distribution of age at first observation period",NULL,NULL,NULL,NULL,NULL
104,"Distribution of age at first observation period by gender","gender_concept_id",NULL,NULL,NULL,NULL
105,"Length of observation (days) of first observation period",NULL,NULL,NULL,NULL,NULL
106,"Length of observation (days) of first observation period by gender","gender_concept_id",NULL,NULL,NULL,NULL
107,"Length of observation (days) of first observation period by age decile","age decile",NULL,NULL,NULL,NULL
108,"Number of persons by length of observation period,in 30d increments","Observation period length 30d increments",NULL,NULL,NULL,NULL
109,"Number of persons with continuous observation in each year","calendar year",NULL,NULL,NULL,NULL
110,"Number of persons with continuous observation in each month","calendar month",NULL,NULL,NULL,NULL
111,"Number of persons by observation period start month","calendar month",NULL,NULL,NULL,NULL
112,"Number of persons by observation period end month","calendar month",NULL,NULL,NULL,NULL
113,"Number of persons by number of observation periods","number of observation periods",NULL,NULL,NULL,NULL
114,"Number of persons with observation period before year-of-birth",NULL,NULL,NULL,NULL,NULL
115,"Number of persons with observation period end < observation period start",NULL,NULL,NULL,NULL,NULL
