concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000000000	AoU_General	Metadata	Vocabulary	Vocabulary		AOU generated	2017-05-17	2099-12-31	
2000000001	Another single population	Observation	AoU_General	Answer	S	WhatRaceEthnicity_GeneralizedPopulation	2017-05-17	2099-12-31	
2000000002	Not man only, not woman only, prefer not to answer, or skipped	Observation	AoU_General	Answer	S	GenderIdentity_GeneralizedDiffGender	2017-05-17	2099-12-31	
2000000003	Non-straight orientation, prefer not to answer, or skipped	Observation	AoU_General	Answer	S	SexualOrientation_GeneralizedNotStraight	2017-05-17	2099-12-31	
2000000004	Employed for wages or self-employed	Observation	AoU_General	Answer	S	EmploymentStatus_GeneralizedEmployed	2017-05-17	2099-12-31	
2000000005	Not currently employed for wages	Observation	AoU_General	Answer	S	EmploymentStatus_GeneralizedNotEmployed	2017-05-17	2099-12-31	
2000000006	College graduate or advanced degree	Observation	AoU_General	Answer	S	HighestGrade_GeneralizedCollegeAndAbove	2017-05-17	2099-12-31	
2000000007	Less than a high school degree or equivalent	Observation	AoU_General	Answer	S	HighestGrade_GeneralizedNoHighSchoolDegree	2017-05-17	2099-12-31	
2000000008	More than one population	Observation	AoU_General	Answer	S	WhatRaceEthnicity_GeneralizedMultPopulations	2017-05-17	2099-12-31	
2000000009	Not male, not female, prefer not to answer, or skipped	Observation	AoU_General	Answer	S	SexAtBirth_GeneralizedDiffSex	2017-05-17	2099-12-31	
2000000010	Response removed due to invalid value	Observation	AoU_General	Answer	S	AoUDRC_ResponseRemoval	2017-05-17	2099-12-31	
2000000011	State Information Suppressed for Privacy	Observation	AoU_General	Answer	S	AoUDRC_GeneralizedState	2017-05-17	2099-12-31	
2000000013	11 or more household members	Observation	AoU_General	Answer	S	HouseSize_11+	2017-05-17	2099-12-31	
2100000000	AoU_Custom	Metadata	Vocabulary	Vocabulary		AOU generated	2020-01-01	2099-12-31	
2100000001	None Indicated	Observation	AoU_Custom	Answer	S	AoUDRC_NoneIndicated	2017-05-17	2099-12-31	
