concept_id,concept_code,privacy_rule,vocabulary_id,date_added
8905,26,military_operations,cms place of service,2024-03-08
19225,T74.91,assault/homicide,icd10cm,2024-03-08
19246,T76.22,assault/homicide,icd10cm,2024-03-08
19248,T76.32,assault/homicide,icd10cm,2024-03-08
72434,82062003,perinatal,snomed,2024-03-08
136530,206539008,perinatal,snomed,2024-03-08
137974,655007,liveborn_infants,snomed,2024-03-08
140526,4184009,perinatal,snomed,2024-03-08
192379,111431001,perinatal,snomed,2024-03-08
193254,25658005,perinatal,snomed,2024-03-08
193532,198705001,perinatal,snomed,2024-03-08
195595,4576001,legal_intervention,snomed,2024-03-08
196754,198718009,perinatal,snomed,2024-03-08
197333,27169005,perinatal,snomed,2024-03-08
255084,78895009,perinatal,snomed,2024-03-08
312723,13213009,perinatal,snomed,2024-03-08
314478,22271007,liveborn_infants,snomed,2024-03-08
380513,79410001,perinatal,snomed,2024-03-08
432430,46906003,perinatal,snomed,2024-03-08
432441,366323009,perinatal,snomed,2024-03-08
432534,269716005,motor vehicle accident,snomed,2024-03-08
432810,219356008,suicide,snomed,2024-03-08
433107,219340003,suicide,snomed,2024-03-08
433374,242397005,motor vehicle accident,snomed,2024-03-08
433823,40609001,perinatal,snomed,2024-03-08
433864,64920003,perinatal,snomed,2024-03-08
433869,1857005,perinatal,snomed,2024-03-08
434095,198709007,perinatal,snomed,2024-03-08
434156,63565007,perinatal,snomed,2024-03-08
434705,198707009,perinatal,snomed,2024-03-08
434849,287184008,suicide,snomed,2024-03-08
435017,198722004,perinatal,snomed,2024-03-08
435131,95930005,assault/homicide,snomed,2024-03-08
435151,371779005,assault/homicide,snomed,2024-03-08
435155,219334005,military_operations,snomed,2024-03-08
435155,219334005,suicide,snomed,2024-03-08
435443,17886000,motor vehicle accident,snomed,2024-03-08
435640,72544005,perinatal,snomed,2024-03-08
435868,267193004,perinatal,snomed,2024-03-08
436001,371774000,assault/homicide,snomed,2024-03-08
436169,74978008,legal_intervention,snomed,2024-03-08
436292,217897003,motor vehicle accident,snomed,2024-03-08
436313,102458000,assault/homicide,snomed,2024-03-08
436532,59527008,perinatal,snomed,2024-03-08
436589,217115005,suffocation,snomed,2024-03-08
436605,287186005,suicide,snomed,2024-03-08
436747,34500003,perinatal,snomed,2024-03-08
436874,217935007,motor vehicle accident,snomed,2024-03-08
436878,219359001,suicide,snomed,2024-03-08
436892,219358009,suicide,snomed,2024-03-08
437167,218081007,military_operations,snomed,2024-03-08
437449,397940009,assault/homicide,snomed,2024-03-08
437460,95922009,assault/homicide,snomed,2024-03-08
437748,309535002,motor vehicle accident,snomed,2024-03-08
438043,225824003,assault/homicide,snomed,2024-03-08
438196,198719001,perinatal,snomed,2024-03-08
438542,313178001,perinatal,snomed,2024-03-08
438943,225826001,assault/homicide,snomed,2024-03-08
439235,276853009,military_operations,snomed,2024-03-08
439236,219335006,suicide,snomed,2024-03-08
439325,198743003,legal_intervention,snomed,2024-03-08
439327,198724003,perinatal,snomed,2024-03-08
439391,371778002,assault/homicide,snomed,2024-03-08
439395,371775004,assault/homicide,snomed,2024-03-08
439397,371704001,terrorism,snomed,2024-03-08
439615,217150002,motor vehicle accident,snomed,2024-03-08
439788,190745006,perinatal,snomed,2024-03-08
439922,313179009,perinatal,snomed,2024-03-08
440167,53443007,liveborn_infants,snomed,2024-03-08
440314,219336007,suicide,snomed,2024-03-08
440453,198706000,perinatal,snomed,2024-03-08
440577,78523004,terrorism,snomed,2024-03-08
440615,71677004,military_operations,snomed,2024-03-08
441073,267194005,perinatal,snomed,2024-03-08
441128,79995002,perinatal,snomed,2024-03-08
441349,48433002,perinatal,snomed,2024-03-08
441364,80113008,assault/homicide,snomed,2024-03-08
441481,406137001,assault/homicide,snomed,2024-03-08
441678,78395001,perinatal,snomed,2024-03-08
441911,198720007,perinatal,snomed,2024-03-08
441915,7802000,perinatal,snomed,2024-03-08
442596,61752008,legal_intervention,snomed,2024-03-08
443080,213017001,assault/homicide,snomed,2024-03-08
443256,276849007,assault/homicide,snomed,2024-03-08
443271,274912004,suicide,snomed,2024-03-08
443278,287181000,suicide,snomed,2024-03-08
443279,287185009,suicide,snomed,2024-03-08
443549,419916003,assault/homicide,snomed,2024-03-08
443705,18684002,legal_intervention,snomed,2024-03-08
444048,38784004,legal_intervention,snomed,2024-03-08
444094,118185001,perinatal,snomed,2024-03-08
444267,84132007,perinatal,snomed,2024-03-08
444377,86095007,perinatal,snomed,2024-03-08
444417,45139008,perinatal,snomed,2024-03-08
600520,1004019008,perinatal,snomed,2024-03-08
600527,1004026008,perinatal,snomed,2024-03-08
600552,1010282001,perinatal,snomed,2024-03-08
602337,12399371000119105,assault/homicide,snomed,2024-03-08
602338,12399411000119106,assault/homicide,snomed,2024-03-08
605035,1010286003,perinatal,snomed,2024-03-08
725454,P91.821,perinatal,icd10cm,2024-03-08
725455,P91.822,perinatal,icd10cm,2024-03-08
725457,P91.829,perinatal,icd10cm,2024-03-08
725641,V00.841A,motor vehicle accident,icd10cm,2024-03-08
725642,V00.841D,motor vehicle accident,icd10cm,2024-03-08
725649,V00.848A,motor vehicle accident,icd10cm,2024-03-08
760973,125161000119103,military_operations,snomed,2024-03-08
762055,288331000119108,assault/homicide,snomed,2024-03-08
762058,288401000119109,assault/homicide,snomed,2024-03-08
762124,29221000119106,assault/homicide,snomed,2024-03-08
762999,434771000124107,location,snomed,2024-03-08
765389,288381000119109,assault/homicide,snomed,2024-03-08
766415,P00.82,perinatal,icd10cm,2024-03-08
766421,P09.6,perinatal,icd10cm,2024-03-08
766422,P09.8,perinatal,icd10cm,2024-03-08
766505,Y35.899A,legal_intervention,icd10cm,2024-03-08
1553974,Y35.049A,legal_intervention,icd10cm,2024-03-08
1554018,Y35.399A,legal_intervention,icd10cm,2024-03-08
1554034,Y35.819A,legal_intervention,icd10cm,2024-03-08
1554039,Y35.831A,legal_intervention,icd10cm,2024-03-08
1554047,Y35.833A,legal_intervention,icd10cm,2024-03-08
1554051,Y35.839A,legal_intervention,icd10cm,2024-03-08
1554055,Y35.99XA,legal_intervention,icd10cm,2024-03-08
1575155,T74.1,assault/homicide,icd10cm,2024-03-08
1575156,T74.2,assault/homicide,icd10cm,2024-03-08
1575158,T74.9,assault/homicide,icd10cm,2024-03-08
1575165,T76.1,assault/homicide,icd10cm,2024-03-08
1575166,T76.2,assault/homicide,icd10cm,2024-03-08
1576139,Z62.81,assault/homicide,icd10cm,2024-03-08
1595725,T74.51XS,assault/homicide,icd10cm,2024-03-08
1595780,Z04.81,assault/homicide,icd10cm,2024-03-08
1595794,Z62.813,assault/homicide,icd10cm,2024-03-08
1595798,Z91.42,assault/homicide,icd10cm,2024-03-08
2102032,1157F,legal_intervention,cpt4,2024-03-08
2721594,S9989,location,hcpcs,2024-03-08
2721666,T2007,motor vehicle accident,hcpcs,2024-03-08
3005917,21842-0,location,loinc,2024-03-08
3038482,52531-1,location,loinc,2024-03-08
3041797,52532-9,location,loinc,2024-03-08
3043579,45401-7,location,loinc,2024-03-08
3052558,46499-0,location,loinc,2024-03-08
3656374,25711000087100,location,snomed,2024-03-08
3656374,25711000087100,location,snomed,2024-03-08
3656378,25771000087107,location,snomed,2024-03-08
4012613,113173007,location,snomed,2024-03-08
4014465,169886007,perinatal,snomed,2024-03-08
4020158,213015009,assault/homicide,snomed,2024-03-08
4021520,225728007,location,snomed,2024-03-08
4022081,105530003,location,snomed,2024-03-08
4022081,105530003,location,snomed,2024-03-08
4022124,225820007,assault/homicide,snomed,2024-03-08
4022125,225823009,assault/homicide,snomed,2024-03-08
4026163,225818009,assault/homicide,snomed,2024-03-08
4026163,225818009,terrorism,snomed,2024-03-08
4026164,225825002,assault/homicide,snomed,2024-03-08
4041280,118213005,liveborn_infants,snomed,2024-03-08
4041280,118213005,perinatal,snomed,2024-03-08
