concept_code,privacy_rule,date_added
snsc_sc_facebook_yn,nph_redcap_forms,2024-05-28
snsc_sc_facebook_num,nph_redcap_forms,2024-05-28
snsc_sc_instagram_yn,nph_redcap_forms,2024-05-28
snsc_sc_instagram_num,nph_redcap_forms,2024-05-28
snsc_sc_twitter_yn,nph_redcap_forms,2024-05-28
snsc_sc_twitter_num,nph_redcap_forms,2024-05-28
snsc_mb_a_age,nph_redcap_forms,2024-05-28
snsc_mb_b_age,nph_redcap_forms,2024-05-28
snsc_mb_c_age,nph_redcap_forms,2024-05-28
snsc_mb_d_age,nph_redcap_forms,2024-05-28
snsc_mb_e_age,nph_redcap_forms,2024-05-28
snsc_mb_a_live,nph_redcap_forms,2024-05-28
snsc_mb_b_live,nph_redcap_forms,2024-05-28
snsc_mb_c_live,nph_redcap_forms,2024-05-28
snsc_mb_d_live,nph_redcap_forms,2024-05-28
snsc_mb_e_live,nph_redcap_forms,2024-05-28
snsc_mb_a_talk,nph_redcap_forms,2024-05-28
snsc_mb_b_talk,nph_redcap_forms,2024-05-28
snsc_mb_c_talk,nph_redcap_forms,2024-05-28
snsc_mb_d_talk,nph_redcap_forms,2024-05-28
snsc_mb_e_talk,nph_redcap_forms,2024-05-28
snsc_mb_healthy1,nph_redcap_forms,2024-05-28
snsc_mb_healthy2,nph_redcap_forms,2024-05-28
snsc_mb_healthy3,nph_redcap_forms,2024-05-28
snsc_mb_healthy4,nph_redcap_forms,2024-05-28
snsc_mb_healthy5,nph_redcap_forms,2024-05-28
snsc_mb_most1,nph_redcap_forms,2024-05-28
snsc_mb_most2,nph_redcap_forms,2024-05-28
snsc_mb_most3,nph_redcap_forms,2024-05-28
snsc_mb_most4,nph_redcap_forms,2024-05-28
snsc_mb_most5,nph_redcap_forms,2024-05-28
snsc_ns_a1_b2,nph_redcap_forms,2024-05-28
snsc_ns_a1_c3,nph_redcap_forms,2024-05-28
snsc_ns_a1_d4,nph_redcap_forms,2024-05-28
snsc_ns_a1_e5,nph_redcap_forms,2024-05-28
snsc_ns_b2_c3,nph_redcap_forms,2024-05-28
snsc_ns_b2_d4,nph_redcap_forms,2024-05-28
snsc_ns_b2_e5,nph_redcap_forms,2024-05-28
snsc_ns_c3_d4,nph_redcap_forms,2024-05-28
snsc_ns_c3_e5,nph_redcap_forms,2024-05-28
snsc_ns_d4_e5,nph_redcap_forms,2024-05-28
snsc_mb_a_gender,nph_redcap_forms,2024-05-28
snsc_mb_b_gender,nph_redcap_forms,2024-05-28
snsc_mb_c_gender,nph_redcap_forms,2024-05-28
snsc_mb_d_gender,nph_redcap_forms,2024-05-28
snsc_mb_e_gender,nph_redcap_forms,2024-05-28
snsc_mb_a_relationsp,nph_redcap_forms,2024-05-28
snsc_mb_b_relationsp,nph_redcap_forms,2024-05-28
snsc_mb_c_relationsp,nph_redcap_forms,2024-05-28
snsc_mb_d_relationsp,nph_redcap_forms,2024-05-28
snsc_mb_e_relationsp,nph_redcap_forms,2024-05-28
snsc_sc_instagram_num_accts,nph_redcap_forms,2024-05-28
snsc_sc_twitter_num_accts,nph_redcap_forms,2024-05-28
snsc_mb_a_relation,nph_redcap_forms,2024-05-28
snsc_mb_b_relation,nph_redcap_forms,2024-05-28
snsc_mb_c_relation,nph_redcap_forms,2024-05-28
snsc_mb_d_relation,nph_redcap_forms,2024-05-28
snsc_mb_e_relation,nph_redcap_forms,2024-05-28
snsc_ng_who_a1,nph_redcap_forms,2024-05-28
snsc_ng_who_b2,nph_redcap_forms,2024-05-28
snsc_ng_who_c3,nph_redcap_forms,2024-05-28
snsc_ng_who_d4,nph_redcap_forms,2024-05-28
snsc_ng_who_e5,nph_redcap_forms,2024-05-28
mss_standus,nph_redcap_forms,2024-05-28
mss_standcomm,nph_redcap_forms,2024-05-28
mss_score,nph_redcap_forms,2024-05-28
mss_socstatyoung,nph_redcap_forms,2024-05-28
mss_socstatnow,nph_redcap_forms,2024-05-28
geo_curr_hmcity,nph_redcap_forms,2024-05-28
geo_curr_hmstreet,nph_redcap_forms,2024-05-28
geo_curr_wkcity,nph_redcap_forms,2024-05-28
geo_curr_wkcountry,nph_redcap_forms,2024-05-28
geo_curr_wkstate,nph_redcap_forms,2024-05-28
geo_curr_wkstreet,nph_redcap_forms,2024-05-28
geo_curr_wkzipcode,nph_redcap_forms,2024-05-28
geo_prev_hmcity,nph_redcap_forms,2024-05-28
geo_prev_hmcountry,nph_redcap_forms,2024-05-28
geo_prev_hmstate,nph_redcap_forms,2024-05-28
geo_prev_hmstreet,nph_redcap_forms,2024-05-28
geo_prev_hmzipcode,nph_redcap_forms,2024-05-28
hc_num_tot,nph_redcap_forms,2024-05-28
hc_num_u5,nph_redcap_forms,2024-05-28
hc_num_6to11,nph_redcap_forms,2024-05-28
hc_num_12to17,nph_redcap_forms,2024-05-28
hc_num_18to64,nph_redcap_forms,2024-05-28
hc_num_o65,nph_redcap_forms,2024-05-28
hc_num_sppt,nph_redcap_forms,2024-05-28
hc_shop_who,nph_redcap_forms,2024-05-28
hi_shop_othwho,nph_redcap_forms,2024-05-28
hc_meals_who,nph_redcap_forms,2024-05-28
hi_meals_othwho,nph_redcap_forms,2024-05-28
ds_youngerdetails,nph_redcap_forms,2024-05-28
ds_nowdetails,nph_redcap_forms,2024-05-28
asa24_again_exp,nph_redcap_forms,2024-05-28
asa24_like_least,nph_redcap_forms,2024-05-28
asa24_easier,nph_redcap_forms,2024-05-28
aim_again_det,nph_redcap_forms,2024-05-28
aim_liked_most_det,nph_redcap_forms,2024-05-28
aim_liked_least_det,nph_redcap_forms,2024-05-28
aim_make_easier_det,nph_redcap_forms,2024-05-28
