concept_id,concept_code,privacy_rule,vocabulary_id,date_added
2004722,72.5,delivery-proc.csv,icd9proc,2024-03-25
2004706,72.21,delivery-proc.csv,icd9proc,2024-03-25
2004749,73.21,delivery-proc.csv,icd9proc,2024-03-25
2004750,73.22,delivery-proc.csv,icd9proc,2024-03-25
2004711,72.4,delivery-proc.csv,icd9proc,2024-03-25
2004770,73.92,delivery-proc.csv,icd9proc,2024-03-25
2004708,72.3,delivery-proc.csv,icd9proc,2024-03-25
2004723,72.51,delivery-proc.csv,icd9proc,2024-03-25
2004766,73.6,delivery-proc.csv,icd9proc,2024-03-25
2004703,72,delivery-proc.csv,icd9proc,2024-03-25
2004769,73.91,delivery-proc.csv,icd9proc,2024-03-25
2004726,72.54,delivery-proc.csv,icd9proc,2024-03-25
2004771,73.93,delivery-proc.csv,icd9proc,2024-03-25
2004748,73.2,delivery-proc.csv,icd9proc,2024-03-25
2004768,73.9,delivery-proc.csv,icd9proc,2024-03-25
2004765,73.59,delivery-proc.csv,icd9proc,2024-03-25
2004745,73.01,delivery-proc.csv,icd9proc,2024-03-25
2004727,72.6,delivery-proc.csv,icd9proc,2024-03-25
2004746,73.09,delivery-proc.csv,icd9proc,2024-03-25
2004709,72.31,delivery-proc.csv,icd9proc,2024-03-25
2004731,72.8,delivery-proc.csv,icd9proc,2024-03-25
2004783,73.99,delivery-proc.csv,icd9proc,2024-03-25
2004747,73.1,delivery-proc.csv,icd9proc,2024-03-25
2004728,72.7,delivery-proc.csv,icd9proc,2024-03-25
2004763,73.5,delivery-proc.csv,icd9proc,2024-03-25
2004744,73,delivery-proc.csv,icd9proc,2024-03-25
2004710,72.39,delivery-proc.csv,icd9proc,2024-03-25
2004729,72.71,delivery-proc.csv,icd9proc,2024-03-25
2004762,73.4,delivery-proc.csv,icd9proc,2024-03-25
2004751,73.3,delivery-proc.csv,icd9proc,2024-03-25
2004702,72,delivery-proc.csv,icd9proc,2024-03-25
2004705,72.2,delivery-proc.csv,icd9proc,2024-03-25
4191809,73,delivery-proc.csv,icd9proc,2024-03-25
2004730,72.79,delivery-proc.csv,icd9proc,2024-03-25
2004724,72.52,delivery-proc.csv,icd9proc,2024-03-25
2004764,73.51,delivery-proc.csv,icd9proc,2024-03-25
2004704,72.1,delivery-proc.csv,icd9proc,2024-03-25
2004767,73.8,delivery-proc.csv,icd9proc,2024-03-25
2004742,72.9,delivery-proc.csv,icd9proc,2024-03-25
2004707,72.29,delivery-proc.csv,icd9proc,2024-03-25
2004725,72.53,delivery-proc.csv,icd9proc,2024-03-25
2004782,73.94,delivery-proc.csv,icd9proc,2024-03-25
2784578,10E0XZZ,delivery-proc.csv,icd10pcs,2024-03-25
2784563,10D,delivery-proc.csv,icd10pcs,2024-03-25
2784573,10D17ZZ,delivery-proc.csv,icd10pcs,2024-03-25
2784576,10D28ZZ,delivery-proc.csv,icd10pcs,2024-03-25
2784570,10D07Z6,delivery-proc.csv,icd10pcs,2024-03-25
