privacy_rule,data_type,definition,publicly_reportable,source_ticket
,EHR,"Not a category. Five ICD9CM rows carried with no category label: multiparity (V61.5), observation following accident at work and following other accident (V71.3, V71.4), and counseling for parent-foster child and parent-adopted child problems (V61.24, V61.25). The last two are family-dynamics codes for which neither source workbook defines a category.",not stated,DC-3812
06apr20 NIH List,EHR,"Not a category. A dated cross-category list delivered by NIH on 2020-04-06 whose 34 concepts span motor vehicle accident, assault, perinatal and newborn subject matter. It is kept under its own label to preserve the provenance of that delivery, not because it names a distinct topic.",not stated,DC-3772
Assault/Homicide,EHR,"Assault and abuse suppressed retroactively: victim of sexual aggression, and observation and evaluation for suspected abuse and neglect.",yes,DC-3812
Free Text,PPI,"Survey questions whose answer is participant-entered free text. The shipped rows are 'Please specify' follow-ups on COPE, CDC COVID and Everyday Discrimination items, plus two free-text boxes naming an organ and a tissue.",not stated,DC-3812
Gender/Sex,EHR,"Conditions revealing intersex status or a difference of sex development, and gender identity conditions, coded in ICD10CM and SNOMED.",no,DC-3812
Geolocation,PPI,"The SpectrumHealthSitePairing survey item, whose answer identifies the participant's recruitment site and therefore their approximate location.",no,DC-3812
Legal Intervention,EHR,"Legal and custody circumstances: children in foster or welfare custody, family disruption due to divorce or legal separation, and examination for medicolegal reasons. Despite the shared name, this covers legal process and custody, not injury inflicted by law enforcement, which is what legal_intervention and legal.csv cover.",yes,DC-3812
Liveborn infants,EHR,"Low birth weight status of a liveborn infant, banded by birth weight. Three bands ship: V21.31, V21.33 and V21.35.",yes,DC-3812
Living situation,EHR,Family living circumstances. The single code is family disruption due to the return of a family member from military deployment (V61.02).,no,DC-3812
Perinatal (including birth trauma),EHR,"Supervision of high-risk pregnancy on account of prior abortion or grand multiparity, and lower uterine segment cesarean section.",no,DC-3812
Suicide,EHR,Suicide and self-inflicted injury by crashing of a motor vehicle (E958.5).,yes,DC-3812
