concept_id,concept_code,privacy_rule,vocabulary_id,date_added
8515,2,"demographics (race/ethnicity, gender)",race,2024-03-12
8516,3,"demographics (race/ethnicity, gender)",race,2024-03-12
8527,5,"demographics (race/ethnicity, gender)",race,2024-03-12
8905,26,military_operations,cms place of service,2024-03-12
19225,T74.91,assault/homicide,icd10cm,2024-03-12
19246,T76.22,assault/homicide,icd10cm,2024-03-12
19248,T76.32,assault/homicide,icd10cm,2024-03-12
72434,82062003,perinatal,snomed,2024-03-12
75605,14022007,death cause,snomed,2024-03-12
136530,206539008,perinatal,snomed,2024-03-12
137974,655007,liveborn_infants,snomed,2024-03-12
140526,4184009,perinatal,snomed,2024-03-12
192379,111431001,perinatal,snomed,2024-03-12
193254,25658005,perinatal,snomed,2024-03-12
193532,198705001,perinatal,snomed,2024-03-12
195595,4576001,legal_intervention,snomed,2024-03-12
196754,198718009,perinatal,snomed,2024-03-12
197333,27169005,perinatal,snomed,2024-03-12
255084,78895009,perinatal,snomed,2024-03-12
312723,13213009,perinatal,snomed,2024-03-12
314478,22271007,liveborn_infants,snomed,2024-03-12
380513,79410001,perinatal,snomed,2024-03-12
432373,199307003,death cause,snomed,2024-03-12
432430,46906003,perinatal,snomed,2024-03-12
432441,366323009,perinatal,snomed,2024-03-12
432534,269716005,motor vehicle accident,snomed,2024-03-12
432810,219356008,suicide,snomed,2024-03-12
433107,219340003,suicide,snomed,2024-03-12
433374,242397005,motor vehicle accident,snomed,2024-03-12
433823,40609001,perinatal,snomed,2024-03-12
433864,64920003,perinatal,snomed,2024-03-12
433869,1857005,perinatal,snomed,2024-03-12
434095,198709007,perinatal,snomed,2024-03-12
434153,74345006,gender/sex,snomed,2024-03-12
434156,63565007,perinatal,snomed,2024-03-12
434489,419099009,death cause,snomed,2024-03-12
434705,198707009,perinatal,snomed,2024-03-12
434849,287184008,suicide,snomed,2024-03-12
435017,198722004,perinatal,snomed,2024-03-12
435131,95930005,assault/homicide,snomed,2024-03-12
435151,371779005,assault/homicide,snomed,2024-03-12
435155,219334005,military_operations,snomed,2024-03-12
435155,219334005,suicide,snomed,2024-03-12
435443,17886000,motor vehicle accident,snomed,2024-03-12
435640,72544005,perinatal,snomed,2024-03-12
435868,267193004,perinatal,snomed,2024-03-12
435937,51178009,death cause,snomed,2024-03-12
436001,371774000,assault/homicide,snomed,2024-03-12
436169,74978008,legal_intervention,snomed,2024-03-12
436292,217897003,motor vehicle accident,snomed,2024-03-12
436313,102458000,assault/homicide,snomed,2024-03-12
436532,59527008,perinatal,snomed,2024-03-12
436589,217115005,suffocation,snomed,2024-03-12
436605,287186005,suicide,snomed,2024-03-12
436666,56627002,"demographics (race/ethnicity, gender)",snomed,2024-03-12
436666,56627002,gender/sex,snomed,2024-03-12
436747,34500003,perinatal,snomed,2024-03-12
436874,217935007,motor vehicle accident,snomed,2024-03-12
436878,219359001,suicide,snomed,2024-03-12
436892,219358009,suicide,snomed,2024-03-12
437167,218081007,military_operations,snomed,2024-03-12
437449,397940009,assault/homicide,snomed,2024-03-12
437460,95922009,assault/homicide,snomed,2024-03-12
437748,309535002,motor vehicle accident,snomed,2024-03-12
438043,225824003,assault/homicide,snomed,2024-03-12
438196,198719001,perinatal,snomed,2024-03-12
438542,313178001,perinatal,snomed,2024-03-12
438943,225826001,assault/homicide,snomed,2024-03-12
439235,276853009,military_operations,snomed,2024-03-12
439236,219335006,suicide,snomed,2024-03-12
439325,198743003,legal_intervention,snomed,2024-03-12
439327,198724003,perinatal,snomed,2024-03-12
439391,371778002,assault/homicide,snomed,2024-03-12
439395,371775004,assault/homicide,snomed,2024-03-12
439397,371704001,terrorism,snomed,2024-03-12
439615,217150002,motor vehicle accident,snomed,2024-03-12
439701,191787001,"demographics (race/ethnicity, gender)",snomed,2024-03-12
439788,190745006,perinatal,snomed,2024-03-12
439922,313179009,perinatal,snomed,2024-03-12
440068,268637002,gender/sex,snomed,2024-03-12
440167,53443007,liveborn_infants,snomed,2024-03-12
440314,219336007,suicide,snomed,2024-03-12
440453,198706000,perinatal,snomed,2024-03-12
440577,78523004,terrorism,snomed,2024-03-12
440615,71677004,military_operations,snomed,2024-03-12
441073,267194005,perinatal,snomed,2024-03-12
441128,79995002,perinatal,snomed,2024-03-12
441139,50514002,death cause,snomed,2024-03-12
441349,48433002,perinatal,snomed,2024-03-12
441364,80113008,assault/homicide,snomed,2024-03-12
441481,406137001,assault/homicide,snomed,2024-03-12
441647,429187001,death cause,snomed,2024-03-12
441678,78395001,perinatal,snomed,2024-03-12
441911,198720007,perinatal,snomed,2024-03-12
441915,7802000,perinatal,snomed,2024-03-12
442289,53559009,death cause,snomed,2024-03-12
442596,61752008,legal_intervention,snomed,2024-03-12
442605,6476001,death cause,snomed,2024-03-12
442985,248153007,"demographics (race/ethnicity, gender)",snomed,2024-03-12
442986,248152002,"demographics (race/ethnicity, gender)",snomed,2024-03-12
443080,213017001,assault/homicide,snomed,2024-03-12
443256,276849007,assault/homicide,snomed,2024-03-12
443271,274912004,suicide,snomed,2024-03-12
443278,287181000,suicide,snomed,2024-03-12
443279,287185009,suicide,snomed,2024-03-12
443549,419916003,assault/homicide,snomed,2024-03-12
443584,418362005,death cause,snomed,2024-03-12
443705,18684002,legal_intervention,snomed,2024-03-12
443882,15355001,death cause,snomed,2024-03-12
444048,38784004,legal_intervention,snomed,2024-03-12
444094,118185001,perinatal,snomed,2024-03-12
444267,84132007,perinatal,snomed,2024-03-12
444377,86095007,perinatal,snomed,2024-03-12
444417,45139008,perinatal,snomed,2024-03-12
600520,1004019008,perinatal,snomed,2024-03-12
600527,1004026008,perinatal,snomed,2024-03-12
600552,1010282001,perinatal,snomed,2024-03-12
600767,8521000175109,death cause,snomed,2024-03-12
602337,12399371000119105,assault/homicide,snomed,2024-03-12
602338,12399411000119106,assault/homicide,snomed,2024-03-12
605035,1010286003,perinatal,snomed,2024-03-12
725454,P91.821,perinatal,icd10cm,2024-03-12
725455,P91.822,perinatal,icd10cm,2024-03-12
725457,P91.829,perinatal,icd10cm,2024-03-12
725641,V00.841A,motor vehicle accident,icd10cm,2024-03-12
725642,V00.841D,motor vehicle accident,icd10cm,2024-03-12
725649,V00.848A,motor vehicle accident,icd10cm,2024-03-12
760973,125161000119103,military_operations,snomed,2024-03-12
762055,288331000119108,assault/homicide,snomed,2024-03-12
762058,288401000119109,assault/homicide,snomed,2024-03-12
762124,29221000119106,assault/homicide,snomed,2024-03-12
762999,434771000124107,location,snomed,2024-03-12
764548,456471000124108,death cause,snomed,2024-03-12
765389,288381000119109,assault/homicide,snomed,2024-03-12
765761,446141000124107,"demographics (race/ethnicity, gender)",snomed,2024-03-12
766415,P00.82,perinatal,icd10cm,2024-03-12
766421,P09.6,perinatal,icd10cm,2024-03-12
766422,P09.8,perinatal,icd10cm,2024-03-12
766505,Y35.899A,legal_intervention,icd10cm,2024-03-12
903513,Reconsent_Signature,explicitidentifiersuppression,ppi,2024-03-12
903562,ResultsConsent_Signature,explicitidentifiersuppression,ppi,2024-03-12
1001698,93374-7,death cause,loinc,2024-03-12
1332916,cope_a_104,living_situation,ppi,2024-03-12
1333140,cope_a_109,active_duty_military_status,ppi,2024-03-12
1553974,Y35.049A,legal_intervention,icd10cm,2024-03-12
1554018,Y35.399A,legal_intervention,icd10cm,2024-03-12
1554034,Y35.819A,legal_intervention,icd10cm,2024-03-12
1554039,Y35.831A,legal_intervention,icd10cm,2024-03-12
1554047,Y35.833A,legal_intervention,icd10cm,2024-03-12
1554051,Y35.839A,legal_intervention,icd10cm,2024-03-12
1554055,Y35.99XA,legal_intervention,icd10cm,2024-03-12
1568253,F64,"demographics (race/ethnicity, gender)",icd10cm,2024-03-12
1575155,T74.1,assault/homicide,icd10cm,2024-03-12
1575156,T74.2,assault/homicide,icd10cm,2024-03-12
1575158,T74.9,assault/homicide,icd10cm,2024-03-12
1575165,T76.1,assault/homicide,icd10cm,2024-03-12
1575166,T76.2,assault/homicide,icd10cm,2024-03-12
1576139,Z62.81,assault/homicide,icd10cm,2024-03-12
1585395,HealthInsuranceType_Military,active_duty_military_status,ppi,2024-03-12
1585403,CurrentLiving_CollegeCamp,living_situation,ppi,2024-03-12
1585404,CurrentLiving_Friend,living_situation,ppi,2024-03-12
1585405,CurrentLiving_Family,living_situation,ppi,2024-03-12
1585406,CurrentLiving_MotelHotel,living_situation,ppi,2024-03-12
1585407,CurrentLiving_TemporaryInstitute,living_situation,ppi,2024-03-12
1585853,AvtiveDutyServeStatus_Yes,active duty military status,ppi,2024-03-12
1585854,AvtiveDutyServeStatus_No,active duty military status,ppi,2024-03-12
1585874,CurrentLiving_ResidentialFacility,living_situation,ppi,2024-03-12
1585875,CurrentLiving_Transitional,living_situation,ppi,2024-03-12
1585876,CurrentLiving_Shelter,living_situation,ppi,2024-03-12
1585877,CurrentLiving_Outside,living_situation,ppi,2024-03-12
1585898,CurrentMaritalStatus_LivingWithPartner,living_situation,ppi,2024-03-12
1595725,T74.51XS,assault/homicide,icd10cm,2024-03-12
1595780,Z04.81,assault/homicide,icd10cm,2024-03-12
1595794,Z62.813,assault/homicide,icd10cm,2024-03-12
1595798,Z91.42,assault/homicide,icd10cm,2024-03-12
2007107,89.8,death cause,icd9proc,2024-03-12
2102032,1157F,legal_intervention,cpt4,2024-03-12
2106303,3085F,death cause,cpt4,2024-03-12
2213196,88000,death cause,cpt4,2024-03-12
2213197,88005,death cause,cpt4,2024-03-12
2213202,88020,death cause,cpt4,2024-03-12
2213203,88025,death cause,cpt4,2024-03-12
2213208,88037,death cause,cpt4,2024-03-12
2314106,95824,death cause,cpt4,2024-03-12
2721594,S9989,location,hcpcs,2024-03-12
