concept_id,concept_code
702686,nhs_covid_fhc17b_cope_a_226
715714,cu_covid_cope_a_204
715724,tsu_ds5_13_xx42_cope_a_226
715725,eds_follow_up_1_x
715726,basics_11a_cope_a_33
765974,cdc_covid_xx_symptom_cope_350_dose10
765976,cdc_covid_xx_symptom_cope_350_dose11
765978,cdc_covid_xx_symptom_cope_350_dose12
765980,cdc_covid_xx_symptom_cope_350_dose13
765982,cdc_covid_xx_symptom_cope_350_dose14
765984,cdc_covid_xx_symptom_cope_350_dose15
765986,cdc_covid_xx_symptom_cope_350_dose16
765988,cdc_covid_xx_symptom_cope_350_dose17
765990,cdc_covid_xx_symptom_cope_350_dose3
765992,cdc_covid_xx_symptom_cope_350_dose4
765994,cdc_covid_xx_symptom_cope_350_dose5
765996,cdc_covid_xx_symptom_cope_350_dose6
765998,cdc_covid_xx_symptom_cope_350_dose7
766000,cdc_covid_xx_symptom_cope_350_dose8
766002,cdc_covid_xx_symptom_cope_350_dose9
766006,dmfs_29_additionaldose_other
766008,cdc_covid_xx_type_dose10_other
766010,cdc_covid_xx_type_dose11_other
766012,cdc_covid_xx_type_dose12_other
766014,cdc_covid_xx_type_dose13_other
766016,cdc_covid_xx_type_dose14_other
766018,cdc_covid_xx_type_dose15_other
766020,cdc_covid_xx_type_dose16_other
766022,cdc_covid_xx_type_dose17_other
766024,cdc_covid_xx_type_dose3_other
766026,cdc_covid_xx_type_dose4_other
766028,cdc_covid_xx_type_dose5_other
766030,cdc_covid_xx_type_dose6_other
766032,cdc_covid_xx_type_dose7_other
766034,cdc_covid_xx_type_dose8_other
766036,cdc_covid_xx_type_dose9_other
766038,cdc_covid_xx_b_dose10_other
766040,cdc_covid_xx_b_dose11_other
766042,cdc_covid_xx_b_dose12_other
766044,cdc_covid_xx_b_dose13_other
766046,cdc_covid_xx_b_dose14_other
766048,cdc_covid_xx_b_dose15_other
766050,cdc_covid_xx_b_dose16_other
766052,cdc_covid_xx_b_dose17_other
766054,cdc_covid_xx_b_dose3_other
766056,cdc_covid_xx_b_dose4_other
766058,cdc_covid_xx_b_dose5_other
766060,cdc_covid_xx_b_dose6_other
766062,cdc_covid_xx_b_dose7_other
766064,cdc_covid_xx_b_dose8_other
766066,cdc_covid_xx_b_dose9_other
905041,dmfs_29_seconddose_other
905049,cdc_covid_xx_b_firstdose_other
905050,cdc_covid_xx_symptom_cope_350
905059,cdc_covid_xx_b_seconddose_other
905060,cdc_covid_xx_symptom_seconddose_cope_350
1310054,cdc_covid_19_n_a4
1310058,msds_17_c
1310065,cdc_covid_19_7_xx23_other_cope_a_204
1310066,cdc_covid_19_n_a8
1310146,dmfs_29a
1310147,cope_aou_xx_2_a
1333234,cope_a_126
40192502,sdoh_eds_follow_up_1_xx
596889,cdc_covid_xx_b_other
