concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
443405,Human monkeypox,Condition,SNOMED,Clinical Finding,S,359811007,2002-01-31,2099-12-31,
3119802,Monkeypox,Condition,Nebraska Lexicon,Clinical Finding,,186582008,2002-01-31,2017-07-31,U
3138659,Monkeypox,Condition,Nebraska Lexicon,Clinical Finding,,240466002,2002-01-31,2017-07-31,U
3139552,Monkeypox,Condition,Nebraska Lexicon,Clinical Finding,,25157001,2002-01-31,2017-07-31,U
3311601,Monkey pox,Condition,Nebraska Lexicon,Clinical Finding,,359814004,2002-01-31,2099-12-31,
3354141,Human monkeypox,Condition,Nebraska Lexicon,Clinical Finding,,359811007,2002-01-31,2099-12-31,
4234275,Monkeypox,Condition,SNOMED,Clinical Finding,S,359814004,2002-01-31,2099-12-31,
35205743,Monkeypox,Condition,ICD10CM,3-char billing code,,B04,2007-01-01,2099-12-31,
40384350,Monkeypox,Condition,SNOMED,Clinical Finding,,186582008,1970-01-01,2002-01-31,U
40442630,Monkeypox,Condition,SNOMED,Clinical Finding,,240466002,1970-01-01,2002-01-31,U
40457112,Monkeypox,Condition,SNOMED,Clinical Finding,,25157001,1970-01-01,2002-01-31,U
44826343,Monkeypox,Condition,ICD9CM,5-dig billing code,,059.01,1970-01-01,2099-12-31,
44831017,Monocytic leukemia,Condition,ICD9CM,3-dig nonbill code,,206,1970-01-01,2099-12-31,
45915691,Human Monkeypox,Condition,CIEL,Diagnosis,,138403,2007-11-03,2099-12-31,
45941547,Convulsions,Condition,CIEL,Diagnosis,,206,2004-01-01,2099-12-31,
724903,"smallpox monkeypox vaccine, live attenuated, preservative free (National Stockpile)",Drug,CVX,CVX,S,206,2020-07-20,2099-12-31,
1224632,0.5 ML modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/ML Injection [Jynneos],Drug,NDC,11-digit NDC,,50632000101,2020-12-01,2099-12-31,
