rule_type,child_question,parent_question,parent_value,notes
keep,cdc_covid_19_7_xx22_date,cdc_covid_19_7_xx22,COPE_A_44,
keep,cdc_covid_19_7_xx23,cdc_covid_19_7_xx22,COPE_A_44,
keep,cdc_covid_19_9_xx24,cdc_covid_19_9_xx25,COPE_A_44,
keep,cdc_covid_19_n_a2,cdc_covid_19_9_xx25,COPE_A_44,
keep,cdc_covid_19_n_a,cdc_covid_19_9_xx25,COPE_A_44,
keep,copect_63_xx21,copect_63_xx20,COPE_A_9,
keep,cope_a_126,copect_63_xx21,COPE_A_226,
keep,nhs_covid_fhc17b,nhs_covid_fhc17a,COPE_A_44,
keep,nhs_covid_fhc17b_cope_a_226,nhs_covid_fhc17b,COPE_A_226,
keep_gt,basics_xx20,basics_xx,0,
keep,cu_covid_cope_a_204,cu_covid,COPE_A_204,
keep,basics_11a,basics_11,COPE_A_44,
keep,basics_11a_cope_a_33,basics_11a,COPE_A_33,
keep,ipaq_1_cope_a_24,ipaq_1,COPE_A_44,
keep,ipaq_2_cope_a_160,ipaq_1,COPE_A_44,
keep,ipaq_2_cope_a_85,ipaq_1,COPE_A_44,
keep,ipaq_3_cope_a_24,ipaq_3,COPE_A_44,
keep,ipaq_4_cope_a_160,ipaq_3,COPE_A_44,
keep,ipaq_4_cope_a_85,ipaq_3,COPE_A_44,
keep,ipaq_5_cope_a_24,ipaq_5,COPE_A_44,
keep,ipaq_6_cope_a_160,ipaq_5,COPE_A_44,
keep,ipaq_6_cope_a_160,ipaq_7,COPE_A_213_1,
keep,cope_a_160,ipaq_5,COPE_A_44,
keep,cope_a_160,ipaq_7,COPE_A_213_1,
keep,ipaq_6_cope_a_85,ipaq_5,COPE_A_44,
keep,ipaq_6_cope_a_85,ipaq_7,COPE_A_213_2,
keep,ipaq_7_cope_a_85,ipaq_5,COPE_A_44,
keep,ipaq_7_cope_a_85,ipaq_7,COPE_A_213_2,
keep,cope_a_160,ipaq_7,COPE_A_213,
keep,cope_a_85,ipaq_7,COPE_A_213,
keep,copect_50_xx19_cope_a_57,copect_50_xx19,COPE_A_57,
keep,copect_50_xx19_cope_a_198,copect_50_xx19,COPE_A_198,
