rule_type,child_question,parent_question,parent_value
keep,DiagnosedHealthCondition_MotherCancerCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherCancerCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherCancerCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,OtherCancer_MotherFreeTextBox,DiagnosedHealthCondition_MotherCancerCondition,MotherCancerCondition_OtherCancer
keep,DiagnosedHealthCondition_MotherCirculatoryCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherCirculatoryCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherCirculatoryCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_MotherDigestiveCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherDigestiveCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherDigestiveCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_MotherEndocrineCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherEndocrineCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherEndocrineCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_MotherKidneyCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherKidneyCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherKidneyCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_MotherRespiratoryCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherRespiratoryCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherRespiratoryCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_MotherNervousCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherNervousCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherNervousCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_MotherMentalCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherMentalCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherMentalCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_MotherSkeletalMuscularCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherSkeletalMuscularCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherSkeletalMuscularCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_MotherVisionCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherVisionCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherVisionCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_MotherOtherHealthCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_MotherOtherHealthCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_MotherOtherHealthCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,OtherCondition_MotherFreeTextBox,DiagnosedHealthCondition_MotherOtherHealthCondition,MotherOtherHealthCondition_OtherCondition
keep,DiagnosedHealthCondition_FatherCancerCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherCancerCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherCancerCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,OtherCancer_FatherFreeTextBox,DiagnosedHealthCondition_FatherCancerCondition,FatherCancerCondition_OtherCancer
keep,DiagnosedHealthCondition_FatherCirculatoryCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherCirculatoryCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherCirculatoryCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_FatherDigestiveCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherDigestiveCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherDigestiveCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_FatherEndocrineCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherEndocrineCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherEndocrineCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_FatherKidneyCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherKidneyCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherKidneyCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_FatherRespiratoryCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherRespiratoryCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherRespiratoryCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_FatherNervousCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherNervousCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherNervousCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_FatherMentalCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherMentalCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherMentalCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_FatherSkeletalMuscularCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherSkeletalMuscularCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherSkeletalMuscularCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_FatherVisionCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherVisionCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherVisionCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,DiagnosedHealthCondition_FatherOtherHealthCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_FatherOtherHealthCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_FatherOtherHealthCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
keep,OtherCondition_FatherFreeTextBox,DiagnosedHealthCondition_FatherOtherHealthCondition,FatherOtherHealthCondition_OtherCondition
keep,DiagnosedHealthCondition_SiblingCancerCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Alot
keep,DiagnosedHealthCondition_SiblingCancerCondition,FamilyHistory_FamilyMedicalHistoryAware,FamilyMedicalHistoryAware_Some
keep,DiagnosedHealthCondition_SiblingCancerCondition,FamilyHistory_FamilyMedicalHistoryAware,PMI_Skip
