rule_type,child_question,parent_question,parent_value
drop,Smoking_SmokeFrequency,Smoking_100CigsLifetime,100CigsLifetime_No
drop,Smoking_SmokeFrequency,Smoking_100CigsLifetime,PMI_PreferNotToAnswer
drop,Smoking_SmokeFrequency,Smoking_100CigsLifetime,PMI_DontKnow
drop,Smoking_DailySmokeStartingAge,Smoking_100CigsLifetime,100CigsLifetime_No
drop,Smoking_DailySmokeStartingAge,Smoking_100CigsLifetime,PMI_PreferNotToAnswer
drop,Smoking_DailySmokeStartingAge,Smoking_100CigsLifetime,PMI_DontKnow
drop,Smoking_SeriousQuitAttempt,Smoking_100CigsLifetime,100CigsLifetime_No
drop,Smoking_SeriousQuitAttempt,Smoking_100CigsLifetime,PMI_PreferNotToAnswer
drop,Smoking_SeriousQuitAttempt,Smoking_100CigsLifetime,PMI_DontKnow
drop,AttemptQuitSmoking_CompletelyQuitAge,Smoking_SeriousQuitAttempt,SeriousQuitAttempt_NoAttemptQuitSmoking
drop,AttemptQuitSmoking_CompletelyQuitAge,Smoking_SeriousQuitAttempt,PMI_PreferNotToAnswer
drop,AttemptQuitSmoking_CompletelyQuitAge,Smoking_SeriousQuitAttempt,PMI_DontKnow
drop,Smoking_NumberOfYears,Smoking_100CigsLifetime,100CigsLifetime_No
drop,Smoking_NumberOfYears,Smoking_100CigsLifetime,PMI_PreferNotToAnswer
drop,Smoking_NumberOfYears,Smoking_100CigsLifetime,PMI_DontKnow
drop,Smoking_CurrentDailyCigaretteNumber,Smoking_100CigsLifetime,100CigsLifetime_No
drop,Smoking_CurrentDailyCigaretteNumber,Smoking_100CigsLifetime,PMI_PreferNotToAnswer
drop,Smoking_CurrentDailyCigaretteNumber,Smoking_100CigsLifetime,PMI_DontKnow
drop,Smoking_AverageDailyCigaretteNumber,Smoking_100CigsLifetime,100CigsLifetime_No
drop,Smoking_AverageDailyCigaretteNumber,Smoking_100CigsLifetime,PMI_PreferNotToAnswer
drop,Smoking_AverageDailyCigaretteNumber,Smoking_100CigsLifetime,PMI_DontKnow
drop,ElectronicSmoking_ElectricSmokeFrequency,ElectronicSmoking_ElectricSmokeParticipant,ElectricSmokeParticipant_No
drop,CigarSmoking_CurrentCigarFrequency,CigarSmoking_CigarSmokeParticipant,CigarSmokeParticipant_No
drop,HookahSmoking_CurrentHookahFrequency,HookahSmoking_HookahSmokeParticipant,HookahSmokeParticipant_No
drop,SmokelessTobacco_SmokelessTobaccoFrequency,SmokelessTobacco_SmokelessTobaccoParticipant,SmokelessTobaccoParticipant_No
drop,Alcohol_DrinkFrequencyPastYear,Alcohol_AlcoholParticipant,AlcoholParticipant_No
drop,Alcohol_DrinkFrequencyPastYear,Alcohol_AlcoholParticipant,PMI_PreferNotToAnswer
drop,Alcohol_DrinkFrequencyPastYear,Alcohol_AlcoholParticipant,PMI_DontKnow
drop,Alcohol_AverageDailyDrinkCount,Alcohol_DrinkFrequencyPastYear,DrinkFrequencyPastYear_Never
drop,Alcohol_AverageDailyDrinkCount,Alcohol_DrinkFrequencyPastYear,PMI_PreferNotToAnswer
drop,Alcohol_6orMoreDrinksOccurence,Alcohol_DrinkFrequencyPastYear,DrinkFrequencyPastYear_Never
drop,Alcohol_6orMoreDrinksOccurence,Alcohol_DrinkFrequencyPastYear,PMI_PreferNotToAnswer
drop,OtherSpecify_OtherDrugsTextBox,RecreationalDrugUse_WhichDrugsUsed,WhichDrugsUsed_MarijuanaUse
