"table_name","column_name","is_nullable","data_type","description"
"person","person_id","no","integer","A unique identifier for each person."
"person","gender_concept_id","no","integer","A foreign key that refers to an identifier in the CONCEPT table for the unique gender of the person."
"person","year_of_birth","no","integer","The year of birth of the person. For data sources with date of birth, the year is extracted. For data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available."
"person","month_of_birth","yes","integer","The month of birth of the person. For data sources that provide the precise date of birth, the month is extracted and stored in this field."
"person","day_of_birth","yes","integer","The day of the month of birth of the person. For data sources that provide the precise date of birth, the day is extracted and stored in this field."
"person","birth_datetime","yes","datetime","The date and time of birth of the person."
"person","race_concept_id","no","integer","A foreign key that refers to an identifier in the CONCEPT table for the unique race of the person."
"person","ethnicity_concept_id","no","integer","A foreign key that refers to the standard concept identifier in the Standardized Vocabularies for the ethnicity of the person."
"person","location_id","yes","integer","A foreign key to the place of residency for the person in the location table, where the detailed address information is stored."
"person","provider_id","yes","integer","A foreign key to the primary care provider the person is seeing in the provider table."
"person","care_site_id","yes","integer","A foreign key to the site of primary care in the care_site table, where the details of the care site are stored."
"person","person_source_value","yes","character varying","An (encrypted) key derived from the person identifier in the source data. This is necessary when a use case requires a link back to the person data at the source dataset."
"person","gender_source_value","yes","character varying","The source code for the gender of the person as it appears in the source data. The person's gender is mapped to a standard gender concept in the Standardized Vocabularies; the original value is stored here for reference."
"person","gender_source_concept_id","yes","integer","A foreign key to the gender concept that refers to the code used in the source."
"person","race_source_value","yes","character varying","The source code for the race of the person as it appears in the source data. The person race is mapped to a standard race concept in the Standardized Vocabularies and the original value is stored here for reference."
"person","race_source_concept_id","yes","integer","A foreign key to the race concept that refers to the code used in the source."
"person","ethnicity_source_value","yes","character varying","The source code for the ethnicity of the person as it appears in the source data. The person ethnicity is mapped to a standard ethnicity concept in the Standardized Vocabularies and the original code is, stored here for reference."
"person","ethnicity_source_concept_id","yes","integer","A foreign key to the ethnicity concept that refers to the code used in the source."
"visit_occurrence","visit_occurrence_id","no","integer","A unique identifier for each Person's visit or encounter at a healthcare provider."
"visit_occurrence","person_id","no","integer","A foreign key identifier to the Person for whom the visit is recorded. The demographic details of that Person are stored in the PERSON table."
"visit_occurrence","visit_concept_id","no","integer","A foreign key that refers to a visit Concept identifier in the Standardized Vocabularies."
"visit_occurrence","visit_start_date","no","date","The start date of the visit."
"visit_occurrence","visit_start_datetime","yes","datetime","The start date and time of the visit."
"visit_occurrence","visit_end_date","no","date","The end date of the visit. If this is a one-day visit the end date should match the start date."
"visit_occurrence","visit_end_datetime","yes","datetime","The end date and time of the visit."
"visit_occurrence","visit_type_concept_id","no","integer","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of source data from which the visit record is derived."
"visit_occurrence","provider_id","yes","integer","A foreign key to the provider in the provider table who was associated with the visit."
"visit_occurrence","care_site_id","yes","integer","A foreign key to the care site in the care site table that was visited."
"visit_occurrence","visit_source_value","yes","character varying","The source code for the visit as it appears in the source data."
"visit_occurrence","visit_source_concept_id","yes","integer","A foreign key to a Concept that refers to the code used in the source."
"condition_occurrence","condition_occurrence_id","no","integer","A unique identifier for each Condition Occurrence event."
"condition_occurrence","person_id","no","integer","A foreign key identifier to the Person who is experiencing the condition. The demographic details of that Person are stored in the PERSON table."
"condition_occurrence","condition_concept_id","no","integer","A foreign key that refers to a Standard Condition Concept identifier in the Standardized Vocabularies."
"condition_occurrence","condition_start_date","no","date","The date when the instance of the Condition is recorded."
"condition_occurrence","condition_start_datetime","yes","datetime","The date and time when the instance of the Condition is recorded."
"condition_occurrence","condition_end_date","yes","date","The date when the instance of the Condition is considered to have ended."
"condition_occurrence","condition_end_datetime","yes","datetime","The date and time when the instance of the Condition is considered to have ended."
"condition_occurrence","condition_type_concept_id","no","integer","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the source data from which the condition was recorded, the level of standardization, and the type of occurrence."
"condition_occurrence","stop_reason","yes","character varying","The reason that the condition was no longer present, as indicated in the source data."
"condition_occurrence","provider_id","yes","integer","A foreign key to the Provider in the PROVIDER table who was responsible for capturing (diagnosing) the Condition."
"condition_occurrence","visit_occurrence_id","yes","integer","A foreign key to the visit in the VISIT table during which the Condition was determined (diagnosed)."
"condition_occurrence","condition_source_value","yes","character varying","The source code for the condition as it appears in the source data. This code is mapped to a standard condition concept in the Standardized Vocabularies and the original code is stored here for reference."
"condition_occurrence","condition_source_concept_id","yes","integer","A foreign key to a Condition Concept that refers to the code used in the source."
"drug_exposure","drug_exposure_id","no","integer","A system-generated unique identifier for each Drug utilization event."
"drug_exposure","person_id","no","integer","A foreign key identifier to the person who is subjected to the Drug. The demographic details of that person are stored in the person table."
"drug_exposure","drug_concept_id","no","integer","A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the Drug concept."
"drug_exposure","drug_exposure_start_date","no","date","The start date for the current instance of Drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a Drug administration procedure was recorded."
"drug_exposure","drug_exposure_start_datetime","yes","datetime","The start date and time for the current instance of Drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a Drug administration procedure was recorded."
"drug_exposure","drug_exposure_end_date","yes","date","The end date for the current instance of Drug utilization. It is not available from all sources."
"drug_exposure","drug_exposure_end_datetime","yes","datetime","The end date and time for the current instance of Drug utilization. It is not available from all sources."
"drug_exposure","drug_type_concept_id","no","integer","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of Drug Exposure recorded. It indicates how the Drug Exposure was represented in the source data."
"drug_exposure","stop_reason","yes","character varying","The reason the Drug was stopped. Reasons include regimen completed, changed, removed, etc."
"drug_exposure","refills","yes","integer","The number of refills after the initial prescription. The initial prescription is not counted, values start with 0."
"drug_exposure","quantity","yes","numeric","The quantity of drug as recorded in the original prescription or dispensing record."
"drug_exposure","days_supply","yes","integer","The number of days of supply of the medication as recorded in the original prescription or dispensing record."
"drug_exposure","sig","yes","text","The directions ('signetur') on the Drug prescription as recorded in the original prescription (and printed on the container) or dispensing record."
"drug_exposure","route_concept_id","yes","integer","A foreign key to a predefined concept in the Standardized Vocabularies reflecting the route of administration."
"drug_exposure","effective_drug_dose","yes","numeric","Numerical value of Drug dose for this Drug Exposure record."
"drug_exposure","dose_unit_concept_id","yes","integer","A foreign key to a predefined concept in the Standardized Vocabularies reflecting the unit the effective_drug_dose value is expressed."
"drug_exposure","lot_number","yes","character varying","An identifier assigned to a particular quantity or lot of Drug product from the manufacturer."
"drug_exposure","provider_id","yes","integer","A foreign key to the provider in the provider table who initiated (prescribed or administered) the Drug Exposure."
"drug_exposure","visit_occurrence_id","yes","integer","A foreign key to the visit in the visit table during which the Drug Exposure was initiated."
"drug_exposure","drug_source_value","yes","character varying","The source code for the Drug as it appears in the source data. This code is mapped to a Standard Drug concept in the Standardized Vocabularies and the original code is, stored here for reference."
"drug_exposure","drug_source_concept_id","yes","integer","A foreign key to a Drug Concept that refers to the code used in the source."
"drug_exposure","route_source_value","yes","character varying","The information about the route of administration as detailed in the source."
"drug_exposure","dose_unit_source_value","yes","character varying","The information about the dose unit as detailed in the source."
"procedure_occurrence","procedure_occurrence_id","no","integer","A system-generated unique identifier for each Procedure Occurrence."
"procedure_occurrence","person_id","no","integer","A foreign key identifier to the Person who is subjected to the Procedure. The demographic details of that Person are stored in the PERSON table."
"procedure_occurrence","procedure_concept_id","no","integer","A foreign key that refers to a standard procedure Concept identifier in the Standardized Vocabularies."
"procedure_occurrence","procedure_date","no","date","The date on which the Procedure was performed."
"procedure_occurrence","procedure_datetime","yes","datetime","The date and time at which the Procedure was performed."
"procedure_occurrence","procedure_type_concept_id","no","integer","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of source data from which the procedure record is derived."
"procedure_occurrence","modifier_concept_id","yes","integer","A foreign key to a Standard Concept identifier for a modifier to the Procedure (e.g. bilateral)"
"procedure_occurrence","quantity","yes","integer","The quantity of procedures ordered or administered."
