Panel_Name,Panel_OMOP_ID,Measurement_Name,Measurement_OMOP_ID,Measurement_Unit,Measurement_Unit_Concept_ID,Notes,Mapping_Notes,LOINC_ID,LOINC_URL
CBC w/Diff,40758558,RBC morphology,3012764,Not Specified,N/A,,,6742-1,https://s.details.loinc.org/LOINC/6742-1.html?sections=Comprehensive
CBC w/Diff,40758558,Platelet morphology,3003214,Not Specified,N/A,,,11125-2,https://s.details.loinc.org/LOINC/11125-2.html?sections=Comprehensive
CBC w/Diff,40758558,WBC morphology,3008757,Not Specified,N/A,,,11156-7,https://s.details.loinc.org/LOINC/11156-7.html?sections=Comprehensive
CBC w/Diff,40758558,Eosinophils %,3006504,%,8554,,,26450-7,https://r.details.loinc.org/LOINC/26450-7.html?sections=Comprehensive
CBC w/Diff,40758558,Monocytes %,3019069,%,8554,,,26485-3,https://r.details.loinc.org/LOINC/26485-3.html?sections=Comprehensive
CBC w/Diff,40758558,Neutrophils %,3018010,%,8554,,,26511-6,https://r.details.loinc.org/LOINC/26511-6.html?sections=Comprehensive
CBC w/Diff,40758558,Promyelocytes %,3021440,%,8554,,,26524-9,https://r.details.loinc.org/LOINC/26524-9.html?sections=Comprehensive
CBC w/Diff,40758558,Metamyelocytes %,3002179,%,8554,,,28541-1,https://r.details.loinc.org/LOINC/28541-1.html?sections=Comprehensive
CBC w/Diff,40758558,Basophils %,3022096,%,8554,,,"
30180-4",https://r.details.loinc.org/LOINC/30180-4.html?sections=Comprehensive
CBC w/Diff,40758558,Hematocrit,3009542,%,8554,,,"
20570-8",https://s.details.loinc.org/LOINC/20570-8.html?sections=Comprehensive
CBC w/Diff,40758558,Lymphocytes %,3002030,%,8554,,,26478-8,https://s.details.loinc.org/LOINC/26478-8.html?sections=Comprehensive
CBC w/Diff,40758558,Bands %,3004809,%,8554,,,26508-2,https://s.details.loinc.org/LOINC/26508-2.html?sections=Comprehensive
CBC w/Diff,40758558,Blasts %,3025159,%,8554,,,26446-5,http://www.hipaaspace.com/medical_billing/coding/logical.observation.identifiers.names.and.codes/26446-5
CBC w/Diff,40758558,Myelocytes %,3017181,%,8554,,,26498-6,http://www.hipaaspace.com/medical_billing/coding/logical.observation.identifiers.names.and.codes/26498-6
CBC w/Diff,40758558,Reticulocytes %,3027945,%,8554,,,4679-7,https://www.hipaaspace.com/medical_billing/coding/logical.observation.identifiers.names.and.codes/4679-7
CBC w/Diff,40758558,MCH,3035941,pg,8564,,"Part of Erythrocyte mean corpuscular hemoglobin, part of red cell indices",28539-5,https://s.details.loinc.org/LOINC/28539-5.html?sections=Comprehensive
CBC w/Diff,40758558,MCV,3024731,fL,8583,,"Part of Erythrocyte mean corpuscular volume, part of red cell indices",30428-7,https://s.details.loinc.org/LOINC/30428-7.html?sections=Comprehensive
CBC w/Diff,40758558,MCHC,3003338,g/dL,8713,,"Part of Erythrocyte mean corpuscular hemoglobin concentration, part of red cell indices",28540-3,https://s.details.loinc.org/LOINC/28540-3.html?sections=Comprehensive
CBC w/Diff,40758558,Red blood cell (RBC) count,3026361,10*6/uL,8815,,,26453-1,https://r.details.loinc.org/LOINC/26453-1.html?sections=Comprehensive
CBC w/Diff,40758558,Hemoglobin,3000963,"g/L, g/dL","8636,  8713",,,718-7,https://s.details.loinc.org/LOINC/718-7.html?sections=Comprehensive
CBC w/Diff,40758558,Platelet count,3007461,"10*3/uL, k/cumm","8848, 
8961",,,26515-7,https://s.details.loinc.org/LOINC/26515-7.html?sections=Comprehensive
CBC w/Diff,40758558,White Blood cell (WBC) count (leukocyte),3010813,"#/mm3, 10*3/uL, k/cumm","8888 (cells/mm3), 8848, 8961",,,26464-8,https://s.details.loinc.org/LOINC/26464-8.html?sections=Comprehensive
CMP,3026023,Albumin/Globulin [Mass Ratio] in Serum or Plasma,3020509,unitless ratio,8523,,,1759-0,https://r.details.loinc.org/LOINC/1759-0.html?sections=Comprehensive
BMP,3026023,Bicarbonate [Moles/volume] in Serum or Plasma,3016293,mmol/L,8753,,From Electrolytes serum/plasma 3027995,1963-8,https://s.details.loinc.org/LOINC/1963-8.html?sections=Comprehensive
CMP,3026023,Bicarbonate [Moles/volume] in Serum or Plasma,3016293,mmol/L,8753,,From Electrolytes serum/plasma 3027995,1963-8,https://s.details.loinc.org/LOINC/1963-8.html?sections=Comprehensive
