"hpo_id","name"
"chci","Community Health Center, Inc., Middletown, Connecticut"
"chs","Cherokee Health Systems, Knoxville, Tennessee"
"cpmc_ceders","California Precision Medicine Consortium, Cedars-Sinai Medical Center"
"cpmc_uci","California Precision Medicine Consortium, UC Irvine"
"cpmc_ucsd","California Precision Medicine Consortium, UC San Diego"
"cpmc_ucsf","California Precision Medicine Consortium, UC San Francisco"
"cpmc_ucd","California Precision Medicine Consortium, UC Davis"
"cpmc_usc","California Precision Medicine Consortium, University of Southern California"
"nyc_cu","Columbia University Medical Center, New York City"
"nyc_cornell","Weill Cornell Medical Center, New York City"
"nyc_hh","NYC Health + Hospitals/Harlem"
"ecchc","Eau Claire Cooperative Health Center, Columbia, South Carolina"
"ghs","Geisinger Health System"
"hrhc","HRHCare, Peekskill, New York"
"ipmc_nu","Illinois Precision Medicine Consortium, Northwestern University, Evanston"
"ipmc_uchicago","Illinois Precision Medicine Consortium, University of Chicago"
"ipmc_northshore","Illinois Precision Medicine Consortium, NorthShore University Health System"
"ipmc_rush","Illinois Precision Medicine Consortium, Rush University Medical Center"
"ipmc_uic","Illinois Precision Medicine Consortium, University of Illinois at Chicago"
"jhchc","Jackson-Hinds Comprehensive Health Center, Jackson, Mississippi"
"nec_bmc","New England Precision Medicine Consortium, Boston Medical Center"
"nec_phs","New England Precision Medicine Consortium, Partners Health Care System, Boston, Massachusetts"
"pitt","University of Pittsburgh at Pittsburgh"
"syhc","San Ysidro Health Center, San Ysidro, California"
"tach_hfhs","Trans-American Consortium for the Health Care Systems Research Network, Henry Ford Health System, Detroit"
"trans_am_baylor","Trans-American Consortium for the Health Care Systems Research Network, Baylor Health Care System"
"trans_am_spectrum","Trans-American Consortium for the Health Care Systems Research Network, Spectrum Health System"
"trans_am_essentia","Trans-American Consortium for the Health Care Systems Research Network, Essentia Health Superior Clinic"
"uamc_banner","Banner Health, Phoenix"
"uamc_uofa","University of Arizona"
"va","Veteran Affairs"
"aouw_mcri","All of Us, Wisconsin - Marshfield Clinic Research Institute"
"aouw_uwh","All of Us, Wisconsin - UW Health (University of Wisconsin Madison)"
"aouw_mcw","All of Us, Wisconsin - Medical College of Wisconsin"
"seec_ufl","South Eastern Enrollment Center - University of Florida"
"saou_uab","Southern All of Us Network - University of Alabama at Birmingham"
"saou_uab_hunt","Southern All of Us Network - UAB School of Medicines Montgomery Internal Medicine and Selma Family Medicine Programs"
"saou_cgmhs","Cooper Green Mercy Health Services, Birmingham, Alabama"
"saou_usahs","University of South Alabama Health System, Mobile"
"saou_umc","University Medical Center, Tuscaloosa, Alabama"
"saou_tul","Tulane Medical Center, New Orleans"
"saou_lsu","Louisiana State University Health Sciences Center, New Orleans"
"saou_ummc","University of Mississippi Medical Center, Jackson"
"seec_emory","Emory University"
"seec_miami","University of Miami Miller School of Medicine"
"seec_morehouse","Morehouse School of Medicine"
