"hpo_id","name"
"chci","Community Health Center, Inc., Middletown, Connecticut"
"chs","Cherokee Health Systems, Knoxville, Tennessee"
"cpmc_ceders","California Precision Medicine Consortium, Cedars-Sinai Medical Center"
"cpmc_uc","California Precision Medicine Consortium, UCSD, UCI, UC Davis, UCSF"
"cpmc_usc","California Precision Medicine Consortium, University of Southern California"
"nyc_cu","Columbia University Medical Center, New York City"
"nyc_cornell","Weill Cornell Medical Center, New York City"
"nyc_hh","NYC Health + Hospitals/Harlem"
"ecchc","Eau Claire Cooperative Health Center, Columbia, South Carolina"
"ghs","Geisinger Health System"
"hrhc","HRHCare, Peekskill, New York"
"ipmc_nu","Illinois Precision Medicine Consortium, Northwestern University, Evanston"
"ipmc_uchicago","Illinois Precision Medicine Consortium, University of Chicago"
"ipmc_northshore","Illinois Precision Medicine Consortium, NorthShore University Health System"
"jhchc","Jackson-Hinds Comprehensive Health Center, Jackson, Mississippi"
"nec_bu","New England Precision Medicine Consortium, Boston University"
"nec_phs","New England Precision Medicine Consortium, Partners Health Care System, Boston, Massachusetts"
"pitt","University of Pittsburgh at Pittsburgh"
"syhc","San Ysidro Health Center, San Ysidro, California"
"tach_hfhs","Trans-American Consortium for the Health Care Systems Research Network, Henry Ford Health System, Detroit"
"uamc_banner","Banner Health, Phoenix"
"uamc_ua","University of Arizona, Tucson"
"uamc_uofa","University of Arizona"
"va","Veteran Affairs"
