"table_name","column_name","is_nullable","data_type","description"
"location","location_id","no","integer","A unique identifier for each geographic location."
"location","address_1","yes","character varying","The address field 1, typically used for the street address, as it appears in the source data."
"location","address_2","yes","character varying","The address field 2, typically used for additional detail such as buildings, suites, floors, as it appears in the source data."
"location","city","yes","character varying","The city field as it appears in the source data."
"location","state","yes","character varying","The state field as it appears in the source data."
"location","zip","yes","character varying","The zip or postal code."
"location","county","yes","character varying","The county."
"location","location_source_value","yes","character varying","The verbatim information that is used to uniquely identify the location as it appears in the source data."
"person","person_id","no","integer","A unique identifier for each person."
"person","gender_concept_id","no","integer","A foreign key that refers to an identifier in the CONCEPT table for the unique gender of the person."
"person","year_of_birth","no","integer","The year of birth of the person. For data sources with date of birth, the year is extracted. For data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available."
"person","month_of_birth","yes","integer","The month of birth of the person. For data sources that provide the precise date of birth, the month is extracted and stored in this field."
"person","day_of_birth","yes","integer","The day of the month of birth of the person. For data sources that provide the precise date of birth, the day is extracted and stored in this field."
"person","race_concept_id","no","integer","A foreign key that refers to an identifier in the CONCEPT table for the unique race of the person."
"person","ethnicity_concept_id","no","integer","A foreign key that refers to the standard concept identifier in the Standardized Vocabularies for the ethnicity of the person."
"person","location_id","yes","integer","A foreign key to the place of residency for the person in the location table, where the detailed address information is stored."
"person","provider_id","yes","integer","A foreign key to the primary care provider the person is seeing in the provider table."
"person","care_site_id","yes","integer","A foreign key to the site of primary care in the care_site table, where the details of the care site are stored."
"person","person_source_value","yes","character varying","An (encrypted) key derived from the person identifier in the source data. This is necessary when a use case requires a link back to the person data at the source dataset."
"person","gender_source_value","yes","character varying","The source code for the gender of the person as it appears in the source data. The person's gender is mapped to a standard gender concept in the Standardized Vocabularies; the original value is stored here for reference."
"person","gender_source_concept_id","yes","integer","A foreign key to the gender concept that refers to the code used in the source."
"person","race_source_value","yes","character varying","The source code for the race of the person as it appears in the source data. The person race is mapped to a standard race concept in the Standardized Vocabularies and the original value is stored here for reference."
"person","race_source_concept_id","yes","integer","A foreign key to the race concept that refers to the code used in the source."
"person","ethnicity_source_value","yes","character varying","The source code for the ethnicity of the person as it appears in the source data. The person ethnicity is mapped to a standard ethnicity concept in the Standardized Vocabularies and the original code is, stored here for reference."
"person","ethnicity_source_concept_id","yes","integer","A foreign key to the ethnicity concept that refers to the code used in the source."
"observation_period","observation_period_id","no","integer","A unique identifier for each observation period."
"observation_period","person_id","no","integer","A foreign key identifier to the person for whom the observation period is defined. The demographic details of that person are stored in the person table."
"observation_period","observation_period_start_date","no","date","The start date of the observation period for which data are available from the data source."
"observation_period","observation_period_end_date","no","date","The end date of the observation period for which data are available from the data source."
"observation_period","period_type_concept_id","no","integer","A foreign key identifier to the predefined concept in the Standardized Vocabularies reflecting the source of the observation period information"
